acid,acname,asid
C8204,ゴッドマジンガー,C6769
C8206,超時空騎団サザンクロス,C6770
C8208,魔法の妖精ペルシャ,C6772
C8210,ふしぎなコアラブリンキー,C6774
C8212,銀河パトロールPJ,C6775
C8214,さよなら夏休み!!ペットントンスペシャル,C6779
C8216,よろしくメカドック,C6780
C8218,ナイン 完結編,C6589
C8220,ふたり鷹,C6781
C8222,ドタンバのマナー,C6784
C8224,コアラボーイコッキィ,C6785
C8226,機甲界ガリアン,C6786
C8228,森のトントたち,C6787
C8230,あした天気になあれ,C6788
C8232,GALACTIC PATROL レンズマン,C6773
C8234,超力ロボガラット,C6789
C8236,星銃士ビスマルク,C6790
C8238,キャッツ・アイ （第2期）,C6791
C8240,タオタオ絵本館 世界動物ばなし （第2期）,C6731
C8242,世紀末救世主伝説 北斗の拳,C6792
C8244,名探偵ホームズ,C6756
C8246,小公女セーラ,C6800
C8248,機動戦士Zガンダム,C6801
C8249,タッチ,C6810
C8251,オバケのQ太郎（新）,C1134
C8253,おねがい!サミアどん,C6811
C8255,プロゴルファー猿 （シリーズ）,C6311
C8257,超獣機神ダンクーガ,C6812
C8259,炎のアルペンローゼ ジュディ＆ランディ,C6813
C8261,へーい!ブンブ-,C6814
C8263,六三四の剣,C6859
C8265,コンポラキッド,C6817
C8267,魔法のスターマジカルエミ,C6818
C8269,戦え!超ロボット生命体 トランスフォーマー,C6820
C8271,ダーティペア,C6822
C8273,悪魔島のプリンス 三つ目がとおる,C6825
C8275,蒼き流星SPTレイズナー,C6826
C8277,忍者戦士飛影,C6828
C8279,昭和アホ草紙 あかぬけ 一番!,C6829
C8281,ゲゲゲの鬼太郎 （第3作）,C1556
C8283,ハイスクール!奇面組,C6831
C8285,夢の星のボタンノーズ,C6835
C8287,愛少女ポリアンナ物語,C6847
C8289,ロボタン（新）,C1245
C8291,宇宙船サジタリウス,C6848
C8293,メイプルタウン物語,C6850
C8295,生徒諸君! 心に緑のネッカチーフを,C6851
C8297,DRAGON BALL,C6852
C8299,魔法のアイドル パステルユーミ,C6853
C8301,機動戦士ガンダムZZ,C6854
C8303,［こんなこいるかな］,C6855
C8305,めぞん一刻,C6857
C8307,世界名作アニメ童話,C6858
C8309,六三四の剣 青春編,C6859
C8311,きまぐれオレンジ★ロード,C6833
C8312,エスパー魔美,C6943
