パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M727430,1989-04-21,2600.0,ゲームボーイ
M727426,1989-04-22,5800.0,メガドライブ
M727425,1989-04-25,5900.0,ファミリーコンピュータ
M727424,1989-04-27,5200.0,ファミリーコンピュータ
M727423,1989-04-27,6500.0,PCエンジン
M727422,1989-04-29,6800.0,メガドライブ
M727421,1989-05-01,6000.0,ファミリーコンピュータ
M727420,1989-05-19,5900.0,ファミリーコンピュータ
M727419,1989-05-19,5900.0,ファミリーコンピュータ
M727418,1989-05-25,5800.0,PCエンジン
M727417,1989-05-26,5900.0,ファミリーコンピュータ
M727416,1989-05-29,2600.0,ゲームボーイ
M727414,1989-06-01,5200.0,PCエンジン
M751832,1989-06-14,2600.0,ゲームボーイ
M727413,1989-06-15,6800.0,メガドライブ
M759404,1989-06-19,5800.0,PCエンジン
M727412,1989-06-22,6300.0,PCエンジン
M727411,1989-06-23,5500.0,ファミリーコンピュータ
M727409,1989-06-25,6800.0,ファミリーコンピュータ
M727408,1989-06-27,4900.0,ファミリーコンピュータ
M727407,1989-06-28,6700.0,PCエンジン
M727405,1989-06-30,6200.0,PCエンジン
M765822,1989-07-01,6000.0,メガドライブ
M727404,1989-07-07,6200.0,PCエンジン
M727403,1989-07-07,5800.0,PCエンジン
M727402,1989-07-14,5800.0,ファミリーコンピュータ
M727401,1989-07-14,5900.0,ファミリーコンピュータ
M727400,1989-07-14,5400.0,PCエンジン
M727399,1989-07-18,5900.0,ファミリーコンピュータ
M727398,1989-07-21,6800.0,ファミリーコンピュータ
M727397,1989-07-21,4900.0,ファミリーコンピュータ
M727396,1989-07-25,5800.0,ファミリーコンピュータ
M727394,1989-07-28,5600.0,PCエンジン
M727393,1989-07-28,4900.0,ファミリーコンピュータ
M727392,1989-07-28,2980.0,ゲームボーイ
M727391,1989-07-29,5500.0,メガドライブ
M727390,1989-07-31,4900.0,ファミリーコンピュータ
M727389,1989-08-03,6800.0,メガドライブ
M727387,1989-08-04,6500.0,ファミリーコンピュータ
M727386,1989-08-04,5900.0,PCエンジン
M727388,1989-08-04,5900.0,ファミリーコンピュータ
M727385,1989-08-08,5800.0,PCエンジン
M755743,1989-08-10,5500.0,PCエンジン
M727383,1989-08-25,6700.0,PCエンジン
M727382,1989-08-25,5900.0,ファミリーコンピュータ
M752911,1989-09-01,6500.0,PCエンジン
M763730,1989-09-01,3000.0,ゲームボーイ
M727380,1989-09-01,5800.0,ファミリーコンピュータ
M727379,1989-09-08,6800.0,PCエンジン
M727378,1989-09-09,6000.0,メガドライブ
M727377,1989-09-14,5800.0,ファミリーコンピュータ
M727375,1989-09-15,5800.0,PCエンジン
M727374,1989-09-19,5900.0,ファミリーコンピュータ
M727373,1989-09-20,5900.0,ファミリーコンピュータ
M727372,1989-09-21,2800.0,ゲームボーイ
M727371,1989-09-22,5800.0,PCエンジン
M727370,1989-09-29,5500.0,ファミリーコンピュータ
M727369,1989-09-29,5600.0,ファミリーコンピュータ
M727367,1989-09-29,5500.0,PCエンジン
M737391,1989-09-29,5800.0,PCエンジン
M727365,1989-10-06,7900.0,メガドライブ
M749573,1989-10-07,6000.0,メガドライブ
M751699,1989-10-13,5800.0,PCエンジン
M754781,1989-10-18,2980.0,ゲームボーイ
M727364,1989-10-19,6200.0,ファミリーコンピュータ
M727363,1989-10-20,5600.0,PCエンジン
M734507,1989-10-21,5500.0,メガドライブ
M727362,1989-10-27,6800.0,ファミリーコンピュータ
M727361,1989-10-27,6500.0,ファミリーコンピュータ
M727360,1989-10-27,3300.0,ゲームボーイ
M727358,1989-10-31,7800.0,ファミリーコンピュータ
M727357,1989-10-31,4900.0,PCエンジン
M749015,1989-10-31,2980.0,ゲームボーイ
M764734,1989-11-01,9800.0,PCエンジン
M727356,1989-11-17,4800.0,ファミリーコンピュータ
M727355,1989-11-17,5800.0,PCエンジン
M727354,1989-11-18,6000.0,メガドライブ
M727353,1989-11-22,6400.0,PCエンジン
M727352,1989-11-24,5900.0,ファミリーコンピュータ
M761270,1989-11-25,6000.0,メガドライブ
M727349,1989-11-28,2600.0,ゲームボーイ
M727348,1989-11-29,6600.0,PCエンジン
M727347,1989-11-30,6500.0,ファミリーコンピュータ
M727346,1989-12-01,6500.0,ファミリーコンピュータ
M727345,1989-12-01,6300.0,ファミリーコンピュータ
M740843,1989-12-01,6700.0,PCエンジン
M727344,1989-12-02,6000.0,メガドライブ
M753956,1989-12-08,3280.0,ゲームボーイ
M727342,1989-12-08,6500.0,PCエンジン
M727343,1989-12-08,6200.0,ファミリーコンピュータ
M727341,1989-12-09,6000.0,メガドライブ
M727340,1989-12-14,5500.0,メガドライブ
M727337,1989-12-15,6500.0,ファミリーコンピュータ
M727335,1989-12-15,3500.0,ゲームボーイ
M727338,1989-12-15,3900.0,ファミリーコンピュータ
M727339,1989-12-15,6000.0,ファミリーコンピュータ
M727334,1989-12-15,5800.0,PCエンジン
M727333,1989-12-15,5800.0,PCエンジン
M727336,1989-12-15,6800.0,メガドライブ
