ccid,crtid
C88642,CCRT01754
C88643,CCRT00551
C88643,CCRT01190
C88644,CCRT00551
C88644,CCRT01190
C88645,CCRT01067
C88646,CCRT03140
C88647,CCRT01229
C88648,CCRT01690
C88649,CCRT00143
C88650,CCRT02982
C88651,CCRT00682
C88652,CCRT02301
C88653,CCRT02743
C88654,CCRT00395
C88655,CCRT03295
C88656,CCRT02064
C88657,CCRT01475
C88658,CCRT03023
C88659,CCRT02365
C88660,CCRT03058
C88662,CCRT02254
C88663,CCRT00729
C88664,CCRT03310
C88665,CCRT01192
C88666,CCRT00209
C88667,CCRT00603
C88668,CCRT00509
C88669,CCRT01828
C88669,CCRT02529
C88670,CCRT00727
C88672,CCRT02521
C88675,CCRT02724
C88678,CCRT02241
C88679,CCRT00239
C88680,CCRT01736
C88682,CCRT01289
C88684,CCRT00225
C88685,CCRT01536
C88686,CCRT00730
C88686,CCRT01255
C88687,CCRT01415
C88688,CCRT00069
C88689,CCRT01016
C88690,CCRT01104
C88690,CCRT02160
C88691,CCRT00248
C88696,CCRT00523
C88696,CCRT02288
C88697,CCRT02976
C88698,CCRT03249
C88699,CCRT01038
C88700,CCRT01680
C88701,CCRT01920
C88702,CCRT00681
C88703,CCRT01953
C88705,CCRT00096
C88706,CCRT02315
C88708,CCRT00377
C88709,CCRT02343
C88710,CCRT03353
C88712,CCRT02276
C88713,CCRT01979
C88714,CCRT03023
C88715,CCRT01604
C88717,CCRT02101
C88718,CCRT03157
C88719,CCRT00749
C88720,CCRT00227
C88721,CCRT01258
C88723,CCRT00017
C88723,CCRT01377
C88724,CCRT01938
C88726,CCRT02922
C88727,CCRT02414
C88728,CCRT02782
C88729,CCRT02333
C88730,CCRT01016
C88731,CCRT01657
C88732,CCRT01736
C88733,CCRT00095
C88734,CCRT00460
C88735,CCRT03069
C88736,CCRT03356
C88737,CCRT01754
C88738,CCRT00681
C88739,CCRT00395
C88740,CCRT00725
C88741,CCRT03072
C88743,CCRT00095
C88744,CCRT00094
C88745,CCRT00991
C88745,CCRT02720
C88746,CCRT02064
C88747,CCRT00189
C88748,CCRT00184
C88749,CCRT00184
C88750,CCRT00239
C88751,CCRT00056
C88753,CCRT02023
C88754,CCRT02706
C88755,CCRT00771
C88755,CCRT02172
C88756,CCRT02224
C88757,CCRT01717
C88758,CCRT01983
C88759,CCRT01754
C88760,CCRT02942
C88760,CCRT03138
C88761,CCRT00922
C88762,CCRT01982
C88763,CCRT02003
C88764,CCRT02522
C88765,CCRT02458
C88766,CCRT02521
C88767,CCRT03253
C88769,CCRT01988
C88770,CCRT02237
C88771,CCRT01668
C88772,CCRT01804
C88773,CCRT01668
C88774,CCRT01444
C88775,CCRT01043
C88776,CCRT01657
C88777,CCRT00134
C88778,CCRT02443
C88780,CCRT01655
C88780,CCRT02590
C88781,CCRT01655
C88781,CCRT02590
C88782,CCRT02840
C88783,CCRT01041
C88784,CCRT03335
C88785,CCRT01706
C88786,CCRT00844
C88790,CCRT03289
C88791,CCRT01695
C88792,CCRT00206
C88793,CCRT01999
C88794,CCRT00271
C88795,CCRT02904
C88796,CCRT01980
C88797,CCRT01115
C88797,CCRT02743
C88798,CCRT03024
C88800,CCRT02135
C88801,CCRT01412
C88802,CCRT02586
C88803,CCRT02724
C88804,CCRT00994
C88805,CCRT02341
C88806,CCRT02275
