ccid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname
C92353,恋に完敗,1,0,0,1980-09-14,1980-09-14,C117607,週刊少年サンデー
C92354,恋のダブルスティール,1,0,0,1980-07-20,1980-07-20,C117607,週刊少年サンデー
C92355,ウェルカム,9,1,2,1990-04-04,1990-06-06,C117607,週刊少年サンデー
C92356,うさぎ小屋の掃除人,1,0,0,1981-01-11,1981-01-11,C117607,週刊少年サンデー
C92357,うしおととら,321,24,16,1990-01-24,2013-01-09,C117607,週刊少年サンデー
C92358,うすら列伝,2,0,1,1972-01-30,1972-03-12,C117607,週刊少年サンデー
C92362,宇宙コンビニ業務日誌,1,0,1,2012-10-03,2012-10-03,C117607,週刊少年サンデー
C92367,宇宙船製造法,1,0,0,1979-02-18,1979-02-18,C117607,週刊少年サンデー
C92369,売ったれダイキチ!,35,0,2,2003-05-14,2004-02-04,C117607,週刊少年サンデー
C92370,うっちゃれ五所瓦,116,10,7,1988-04-20,1991-07-10,C117607,週刊少年サンデー
C92371,打ってよチュウちゃん,4,0,0,1988-08-03,1988-08-24,C117607,週刊少年サンデー
C92372,ウッドメーキング,1,0,0,1985-06-26,1985-06-26,C117607,週刊少年サンデー
C92373,うで立て一代男,2,0,0,1983-08-24,1983-08-31,C117607,週刊少年サンデー
C92374,雨天笑遊記 稲穂の章,1,0,0,1996-02-07,1996-02-07,C117607,週刊少年サンデー
C92375,ウノケンの爆発ウギャー!!,72,3,1,1990-04-11,1991-09-25,C117607,週刊少年サンデー
C92376,馬次郎がやってくる,5,0,0,1972-09-17,1972-10-15,C117607,週刊少年サンデー
C92377,海風の街,1,1,0,1989-04-12,1989-04-12,C117607,週刊少年サンデー
C92379,海の王子,1,0,0,1977-09-25,1977-09-25,C117607,週刊少年サンデー
C92381,楳図かずお笑劇場,1,0,0,1976-02-01,1976-02-01,C117607,週刊少年サンデー
C92384,売り出せ!パンプス,7,0,0,1980-01-01,1980-02-24,C117607,週刊少年サンデー
C92385,うる星やつら,364,34,6,1978-09-24,1987-02-04,C117607,週刊少年サンデー
C92386,ウルトラ・ナンセンス劇場!,35,0,0,1972-04-30,1972-08-06,C117607,週刊少年サンデー
C92387,ウルトラマンT,18,0,0,1973-04-15,1973-08-12,C117607,週刊少年サンデー
C92388,浮気な子 キャンディ,2,0,0,1970-12-13,1970-12-20,C117607,週刊少年サンデー
C92389,噂の男前!,81,3,3,1993-12-15,1995-08-16,C117607,週刊少年サンデー
C92390,うわさの大吉くん!,1,0,0,1974-07-21,1974-07-21,C117607,週刊少年サンデー
C92391,EとT。 えいがとてんし。,52,0,4,2014-06-04,2015-07-22,C117607,週刊少年サンデー
C92392,栄光のマラソンランナー 中山竹通物語,2,1,0,1988-10-05,1988-10-12,C117607,週刊少年サンデー
C92396,エイチマン,3,0,0,1984-08-08,1984-08-22,C117607,週刊少年サンデー
C92397,英雄失格,54,2,0,1977-09-11,1978-10-01,C117607,週刊少年サンデー
C92398,エースをはずせ!,1,0,0,1979-06-17,1979-06-17,C117607,週刊少年サンデー
C92399,江川投手（作新学院）とおれ（水島新司）,1,0,0,1973-05-13,1973-05-13,C117607,週刊少年サンデー
C92400,エクソシスト,1,0,1,1974-07-07,1974-07-07,C117607,週刊少年サンデー
C92401,エコエコクラブ,3,0,1,2011-08-31,2011-09-14,C117607,週刊少年サンデー
C92402,エッチな子キャンディ,1,0,1,1970-10-25,1970-10-25,C117607,週刊少年サンデー
C92404,園への旅人,1,0,0,1981-04-08,1981-04-08,C117607,週刊少年サンデー
C92406,F1サーカス,1,0,1,1976-11-14,1976-11-14,C117607,週刊少年サンデー
C92408,エリート道場のエリート教室,1,0,0,2005-11-23,2005-11-23,C117607,週刊少年サンデー
C92410,天使の朝,1,0,0,1971-02-28,1971-02-28,C117607,週刊少年サンデー
C92411,縁の下のバイオリン弾き,1,0,0,1982-01-06,1982-01-06,C117607,週刊少年サンデー
C92412,エンヤ KODOMO忍法帖,123,7,1,1995-05-10,1998-04-29,C117607,週刊少年サンデー
C92413,お相手します❤,2,0,0,1983-11-16,1983-11-23,C117607,週刊少年サンデー
C92414,おいどん先生,2,0,0,1976-01-11,1977-02-27,C117607,週刊少年サンデー
C92415,おいら女蛮,72,7,5,1974-08-04,1976-07-04,C117607,週刊少年サンデー
C92416,桜華の拳,1,0,0,1995-07-26,1995-07-26,C117607,週刊少年サンデー
C92417,応魂,3,0,1,2012-01-18,2012-01-18,C117607,週刊少年サンデー
C92418,黄金バスト,1,1,0,1989-10-04,1989-10-04,C117607,週刊少年サンデー
C92424,王立院雲丸の生涯 昭和雄雲録,34,1,2,1991-07-03,1992-03-11,C117607,週刊少年サンデー
C92427,おーい!ボケタン,18,0,1,1972-11-05,1973-03-18,C117607,週刊少年サンデー
C92430,オー!!ガールズ11,1,0,0,1973-05-27,1973-05-27,C117607,週刊少年サンデー
C92433,狼の打者,7,0,0,1971-12-05,1972-01-16,C117607,週刊少年サンデー
C92434,大久保嘉人物語 アテネへ導いた男,1,0,0,2004-08-25,2004-08-25,C117607,週刊少年サンデー
C92435,大さじ一杯のミックスナッツ,1,0,0,1980-01-06,1980-01-06,C117607,週刊少年サンデー
C92436,大相撲が好き!,4,1,0,1987-11-11,1987-12-02,C117607,週刊少年サンデー
C92440,鳳BOMBER,1,0,1,2001-11-28,2001-11-28,C117607,週刊少年サンデー
C92441,鳳ボンバー,48,1,2,2002-05-22,2003-05-07,C117607,週刊少年サンデー
C92442,オールザットギャグ,1,0,0,1989-10-11,1989-10-11,C117607,週刊少年サンデー
C92443,オーロラの牙,1,1,0,1975-10-05,1975-10-05,C117607,週刊少年サンデー
C92444,おかしなおかしなヘンシン記,1,0,0,1973-07-29,1973-07-29,C117607,週刊少年サンデー
C92445,御神は今日も荒れている,1,0,0,2013-05-22,2013-05-22,C117607,週刊少年サンデー
C92446,荻原兄弟物語,2,1,0,1996-03-06,1996-03-13,C117607,週刊少年サンデー
C92447,オサムとまもる,2,0,0,1971-09-19,1971-09-26,C117607,週刊少年サンデー
C92448,おさるなまさるくん,59,2,0,1993-08-11,1994-11-16,C117607,週刊少年サンデー
C92450,おしえてビデオアイドル PART2,2,1,0,1988-07-20,1988-09-21,C117607,週刊少年サンデー
C92451,おじさんBOY! 小学中学生,30,1,0,1991-11-13,1992-09-30,C117607,週刊少年サンデー
