年代,アニメ作品ID,アニメ作品の合計話数
2000,C12973,32
2000,C12975,4
2000,C12977,3
2000,C13233,1
2000,C13901,26
2000,C14564,24
2000,C14565,43
2000,C14566,1
2000,C14567,6
2000,C14569,45
2000,C14570,26
2000,C14571,65
2000,C14572,7
2000,C14573,26
2000,C14574,26
2000,C14577,50
2000,C15091,27
2000,C15092,66
2000,C15094,26
2000,C15329,12
2000,C15330,39
2000,C15333,4
2000,C15334,2
2000,C15339,30
2000,C15340,12
2000,C15341,53
2000,C15342,5
2000,C15343,16
2000,C15344,26
2000,C15345,1
2000,C15346,1
2000,C15347,2
2000,C15349,4
2000,C7207,252
2000,C8504,238
2000,C8812,39
2000,C8814,5
2000,C8825,256
2000,C8846,150
2000,C8849,192
2000,C9080,484
2000,C9122,254
2000,C9189,13
2000,C9197,16
2000,C9203,6
2000,C9283,212
2000,C9341,194
2000,C9344,2
2000,C9442,32
2000,C9528,12
2000,C9536,3
2000,C9545,35
2000,C9547,30
2000,C9555,25
2000,C9557,13
2000,C9584,5
2000,C9586,4
2000,C9588,4
2000,C9594,12
2000,C9597,10
2000,C9599,13
2000,C9650,28
2000,C9705,1
2000,C9724,12
2000,C9728,32
2000,C9732,6
2000,C9746,13
2000,C9748,12
2000,C9774,13
2000,C9778,64
2000,C9780,26
2000,C9798,9
2000,C9800,13
2000,C9802,50
2000,C9808,13
2000,C9810,52
2000,C9812,13
2000,C9814,88
2000,C9816,12
2000,C9820,14
2000,C9822,14
2000,C9825,13
2000,C9827,13
2000,C9829,13
2000,C9831,13
2000,C9835,14
2000,C9837,13
2000,C9841,3
2000,C9843,3
2000,C9845,49
2000,C9847,3
2000,C9849,52
2000,C9851,12
2000,C9853,45
2000,C9855,210
2000,C9859,46
2000,C9861,64
2000,C9863,59
2000,C9869,4
2000,C9875,12
2000,C9877,13
2000,C9879,41
2000,C9881,12
2000,C9883,51
2000,C9885,13
2000,C9887,12
2000,C9889,32
2000,C9891,49
2000,C9893,72
2000,C9895,13
2000,C9897,39
2000,C9899,25
2000,C9901,10
2000,C9903,104
2000,C9905,13
2000,C9907,66
2000,C9909,26
2000,C9911,30
2000,C9913,15
2000,C9915,13
2000,C9919,25
2000,C9921,50
2000,C9923,24
2000,C9925,24
2000,C9927,50
2000,C9929,38
2000,C9931,13
2000,C9933,51
2000,C9935,24
2000,C9937,12
2000,C9939,13
2000,C9941,25
2000,C9943,24
2000,C9946,26
2000,C9948,39
2000,C9950,25
2000,C9952,25
2000,C9954,13
2000,C9956,27
2000,C9958,15
2000,C9960,24
2000,C9962,227
2000,C9964,24
2000,C9966,24
2000,C9970,194
2000,C9973,28
2000,C9975,10
2000,C9981,2
2000,C9983,4
2000,C9985,26
2000,C9987,26
2000,C9989,130
2000,C9991,12
2000,C9993,14
2000,C9995,52
2000,C9997,27
2000,C9999,26
2005,C10066,1
2005,C10179,1
2005,C10193,13
2005,C10296,105
2005,C10364,421
2005,C10368,17
2005,C10430,83
2005,C10532,62
2005,C10561,37
2005,C10628,38
2005,C10691,3
2005,C10724,5
2005,C10726,4
2005,C10739,24
2005,C10741,14
2005,C10747,2
2005,C10751,27
2005,C10755,13
2005,C10757,25
2005,C10766,12
2005,C10780,14
2005,C10784,9
2005,C10794,64
2005,C10795,12
2005,C10797,256
2005,C10807,14
2005,C10811,9
2005,C10813,12
2005,C10815,12
2005,C10821,38
2005,C10830,11
2005,C10836,38
2005,C10839,10
2005,C10841,7
2005,C10847,7
2005,C10853,25
2005,C10857,13
2005,C10859,12
2005,C10862,13
2005,C10870,1
2005,C10886,19
2005,C10892,3
2005,C10900,6
2005,C10908,5
2005,C10912,39
2005,C10914,39
2005,C10916,13
2005,C10928,13
2005,C10930,193
2005,C10934,13
2005,C10938,2
2005,C10944,38
2005,C10947,26
2005,C10949,12
2005,C10951,25
2005,C10953,25
2005,C10955,51
2005,C10957,26
2005,C10959,13
2005,C10961,47
2005,C10963,12
2005,C10965,97
2005,C10972,13
2005,C10974,12
2005,C10976,52
2005,C10978,12
2005,C10980,12
2005,C10982,23
2005,C10984,14
2005,C10986,11
2005,C10988,14
2005,C10990,13
2005,C10992,141
2005,C10993,12
2005,C10995,13
2005,C10997,241
2005,C10999,12
2005,C11001,13
2005,C11003,167
2005,C11007,13
2005,C11009,13
2005,C11013,39
2005,C11019,53
2005,C11021,57
2005,C11023,2
2005,C11025,19
2005,C11027,5
2005,C11029,19
2005,C11033,13
2005,C11037,7
2005,C11039,20
2005,C11041,45
2005,C11045,1
2005,C11049,4
2005,C11053,15
2005,C11059,22
2005,C11063,13
2005,C11067,13
2005,C11069,13
2005,C11071,12
2005,C11073,13
2005,C11075,52
2005,C11077,39
2005,C11079,12
2005,C11081,12
2005,C11083,26
2005,C11085,13
2005,C11087,26
2005,C11089,26
2005,C11091,12
2005,C11093,12
2005,C11095,13
2005,C11097,13
2005,C11099,24
2005,C11103,24
2005,C11105,22
2005,C11106,52
2005,C11108,52
2005,C11110,102
2005,C11112,51
2005,C11114,26
2005,C11116,26
2005,C11119,145
2005,C11121,12
2005,C11123,51
2005,C11125,52
2005,C11127,26
2005,C11129,13
2005,C11131,39
2005,C11133,12
2005,C11135,26
2005,C11137,50
2005,C11139,24
2005,C11141,51
2005,C11143,12
2005,C11146,26
2005,C11148,42
2005,C11150,26
2005,C11152,12
2005,C11154,13
2005,C11156,13
2005,C11158,13
2005,C11160,2
2005,C11162,12
2005,C11164,51
2005,C11166,26
2005,C11168,13
2005,C11170,26
2005,C11172,26
2005,C11174,13
2005,C11176,26
2005,C11178,12
2005,C11180,24
2005,C11182,13
2005,C11184,14
2005,C11187,25
2005,C11189,24
2005,C11191,12
2005,C11193,48
2005,C11195,52
2005,C11197,25
2005,C11199,13
2005,C11201,24
2005,C11203,13
2005,C11205,104
2005,C11207,51
2005,C11209,52
2005,C11211,24
2005,C11213,27
2005,C11215,26
2005,C11217,13
2005,C11219,26
2005,C11221,106
2005,C11223,25
2005,C11225,25
2005,C11227,24
2005,C11229,26
2005,C11231,52
2005,C11233,12
2005,C11235,24
2005,C11237,12
2005,C11239,12
2005,C11241,27
2005,C11243,26
2005,C11245,24
2005,C11247,39
2005,C11253,14
2005,C11257,26
2005,C11259,9
2005,C11261,1
2005,C11265,1
2005,C11267,13
2005,C11269,12
2005,C11273,12
2005,C11275,12
2005,C11277,14
2005,C11279,12
2005,C11281,26
2005,C11283,65
2005,C11286,24
2005,C11288,25
2005,C11290,24
2005,C11292,25
2005,C11296,27
2005,C11298,51
2005,C11300,25
2005,C11302,26
2005,C11304,25
2005,C11306,25
2005,C11308,25
2005,C11309,29
2005,C11310,26
2005,C11312,27
2005,C11314,13
2005,C11316,26
2005,C11318,52
2005,C11320,25
2005,C11322,26
2005,C11324,51
2005,C11326,52
2005,C11328,12
2005,C11330,25
2005,C11333,49
2005,C11335,49
2005,C11337,12
2005,C11339,13
2005,C11341,14
2005,C11343,26
2005,C11345,12
2005,C11347,52
2005,C11349,52
2005,C11353,26
2005,C11355,26
2005,C11357,13
2005,C11359,26
2005,C11361,13
2005,C11365,27
2005,C11367,12
2005,C11369,13
2005,C11371,100
2005,C11373,27
2005,C11375,52
2005,C11377,26
2005,C11379,26
2005,C11381,26
2005,C11383,26
2005,C11385,26
2005,C11387,26
2005,C11389,26
2005,C11391,26
2005,C11393,26
2005,C11395,13
2005,C11397,12
2005,C11399,26
2005,C11401,13
2005,C11403,26
2005,C11406,5
2005,C11408,13
2005,C11410,26
2005,C11412,14
2005,C11414,12
2005,C11416,12
2005,C11418,13
2005,C11424,12
2005,C11426,13
2005,C11428,12
2005,C11430,11
2005,C11432,13
2005,C11434,26
2005,C11436,24
2005,C11438,12
2005,C11440,12
2005,C11442,12
2005,C11444,12
2005,C11446,13
2005,C11448,12
2005,C11450,13
2005,C11452,13
2005,C11464,12
2005,C11466,13
2005,C11468,26
2005,C11470,25
2005,C11472,12
2005,C11474,14
2005,C11476,12
2005,C11478,12
2005,C11480,13
2005,C11483,13
2005,C11485,13
2005,C11487,26
2005,C11489,13
2005,C11491,26
2005,C11493,25
2005,C11495,13
2005,C11498,13
2005,C11500,25
2005,C11502,24
2005,C11504,12
2005,C11506,25
2005,C11508,23
2005,C11510,24
2005,C11512,23
2005,C11514,50
2005,C11516,51
2005,C11521,90
2005,C11523,5
2005,C11525,25
2005,C11527,95
2005,C11529,13
2005,C11531,26
2005,C11533,12
2005,C11536,13
2005,C11538,12
2005,C11540,26
2005,C11542,13
2005,C11544,26
2005,C11547,18
2005,C11549,13
2005,C11551,26
2005,C11553,12
2005,C11555,25
2005,C11557,26
2005,C11559,13
2005,C11561,24
2005,C11563,12
2005,C11565,11
2005,C11567,22
2005,C11569,23
2005,C11571,26
2005,C11575,21
2005,C11577,13
2005,C11579,2
2005,C11581,2
2005,C11583,12
2005,C11587,26
2005,C11591,12
2005,C11593,52
2005,C11595,10
2005,C11599,11
2005,C11601,13
2005,C11603,12
2005,C11605,14
2005,C11607,12
2005,C11609,5
2005,C11611,26
2005,C11613,13
2005,C11615,13
2005,C11617,52
2005,C11619,13
2005,C11621,13
2005,C11623,18
2005,C11625,13
2005,C11627,11
2005,C11631,63
2005,C11635,30
2005,C11637,18
2005,C11641,48
2005,C11643,3
2005,C11645,13
2005,C11647,104
2005,C11649,54
2005,C11652,12
2005,C11654,90
2005,C11655,26
2005,C11656,5
2005,C11658,12
