マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名
C111032,CE179556,2015-04-01,0.1794258373205741,False,週刊少年マガジン
C111048,CE179558,2015-04-01,0.2607655502392344,False,週刊少年マガジン
C111048,CE179559,2015-04-01,0.2799043062200957,False,週刊少年マガジン
C111048,CE179560,2015-04-01,0.2942583732057416,False,週刊少年マガジン
C111048,CE179585,2015-04-08,0.3940092165898617,False,週刊少年マガジン
C111048,CE179586,2015-04-08,0.4078341013824885,False,週刊少年マガジン
C111048,CE179606,2015-04-15,0.1700680272108843,False,週刊少年マガジン
C111048,CE179607,2015-04-15,0.1836734693877551,False,週刊少年マガジン
C111048,CE179636,2015-04-22,0.3819444444444444,False,週刊少年マガジン
C111051,CE182141,2015-03-26,0.0166270783847981,False,週刊少年チャンピオン
C111051,CE182167,2015-04-02,0.3381294964028777,False,週刊少年チャンピオン
C111051,CE182195,2015-04-09,0.6359338061465721,False,週刊少年チャンピオン
C111051,CE182218,2015-04-16,0.6926713947990544,False,週刊少年チャンピオン
C111051,CE182239,2015-04-23,0.6579572446555819,False,週刊少年チャンピオン
C111051,CE182257,2015-05-07,0.4726840855106888,False,週刊少年チャンピオン
C111051,CE182283,2015-05-14,0.672209026128266,False,週刊少年チャンピオン
C111051,CE182301,2015-05-21,0.4682352941176471,False,週刊少年チャンピオン
C111053,CE182178,2015-04-02,0.8800959232613909,False,週刊少年チャンピオン
C111053,CE182196,2015-04-09,0.6973995271867612,False,週刊少年チャンピオン
C111053,CE182224,2015-04-16,0.9763593380614656,False,週刊少年チャンピオン
C111053,CE182245,2015-04-23,0.9239904988123516,False,週刊少年チャンピオン
C111053,CE182263,2015-05-07,0.7719714964370546,False,週刊少年チャンピオン
C111053,CE182289,2015-05-14,0.9334916864608076,False,週刊少年チャンピオン
C111053,CE182305,2015-05-21,0.6564705882352941,False,週刊少年チャンピオン
C111053,CE182329,2015-05-28,0.9239904988123516,False,週刊少年チャンピオン
C111058,CE180918,2015-04-08,0.0101626016260162,False,週刊少年サンデー
C111058,CE180948,2015-04-15,0.0870445344129554,False,週刊少年サンデー
C111058,CE180980,2015-04-22,0.1596153846153846,False,週刊少年サンデー
C111058,CE181012,2015-04-29,0.2481060606060606,False,週刊少年サンデー
C111058,CE181046,2015-05-13,0.2912423625254582,False,週刊少年サンデー
C111058,CE181074,2015-05-20,0.1632231404958677,False,週刊少年サンデー
C111058,CE181107,2015-05-27,0.3395061728395062,False,週刊少年サンデー
C111058,CE181132,2015-06-03,0.2315573770491803,False,週刊少年サンデー
C111059,CE180476,2014-12-10,0.2276422764227642,False,週刊少年サンデー
C111059,CE180506,2014-12-24,0.4021739130434782,False,週刊少年サンデー
C111059,CE180530,2015-01-07,0.1933085501858736,False,週刊少年サンデー
C111059,CE180566,2015-01-14,0.359504132231405,False,週刊少年サンデー
C111059,CE180590,2015-01-21,0.1512605042016806,False,週刊少年サンデー
C111059,CE184975,2015-12-23,0.6674107142857143,False,週刊少年サンデー
C111059,CE184996,2016-01-06,0.4953488372093023,False,週刊少年サンデー
