パッケージID,発売年代,メーカー名,プラットフォーム名,発売曜日,発売曜日ID,発売年代ID
M751892,1990,セガ,セガサターン,木,3,0
M719329,1990,セガ,セガサターン,木,3,0
M719330,1990,セガ,ドリームキャスト,木,3,0
M734827,1990,セガ,ドリームキャスト,木,3,0
M745946,1990,セガ,ドリームキャスト,木,3,0
M751121,1990,セガ,セガサターン,木,3,0
M751122,1990,セガ,セガサターン,木,3,0
M766466,1990,セガ,セガサターン,木,3,0
M719327,1990,セガ,セガサターン,木,3,0
M719328,1990,セガ,ドリームキャスト,木,3,0
M743211,1990,セガ,セガサターン,木,3,0
M751326,1990,セガ,セガサターン,木,3,0
M758401,1990,セガ,ドリームキャスト,木,3,0
M758402,1990,セガ,ドリームキャスト,木,3,0
M719326,1990,セガ,ドリームキャスト,木,3,0
M740171,1990,セガ,セガサターン,木,3,0
M740172,1990,セガ,セガサターン,木,3,0
M744515,1990,セガ,セガサターン,木,3,0
M719321,1990,セガ,ドリームキャスト,木,3,0
M719322,1990,セガ,ドリームキャスト,木,3,0
M719323,1990,セガ,ドリームキャスト,木,3,0
M719324,1990,セガ,ドリームキャスト,木,3,0
M724417,1990,セガ,ドリームキャスト,木,3,0
M724430,1990,セガ,ドリームキャスト,木,3,0
M750784,1990,セガ,セガサターン,木,3,0
M719320,1990,セガ,ドリームキャスト,木,3,0
M724402,1990,セガ,ドリームキャスト,木,3,0
M724414,1990,セガ,セガサターン,木,3,0
M719318,1990,セガ,ドリームキャスト,木,3,0
M719319,1990,セガ,ドリームキャスト,木,3,0
M724382,1990,セガ,ドリームキャスト,木,3,0
M766759,1990,セガ,セガサターン,木,3,0
M755816,1990,セガ,セガサターン,木,3,0
M719315,1990,セガ,ドリームキャスト,木,3,0
M719316,1990,セガ,ドリームキャスト,木,3,0
M719311,1990,セガ,ドリームキャスト,木,3,0
M719312,1990,セガ,ドリームキャスト,木,3,0
M719314,1990,セガ,ドリームキャスト,木,3,0
M750597,1990,セガ,ドリームキャスト,木,3,0
M719309,1990,セガ,ドリームキャスト,木,3,0
M719310,1990,セガ,ドリームキャスト,木,3,0
M753719,1990,セガ,ドリームキャスト,木,3,0
M719307,1990,セガ,ドリームキャスト,木,3,0
M763162,1990,セガ,ドリームキャスト,木,3,0
M764727,1990,セガ,ドリームキャスト,木,3,0
M719304,1990,セガ,ドリームキャスト,木,3,0
M719305,1990,セガ,ドリームキャスト,木,3,0
M743937,1990,セガ,セガサターン,木,3,0
M749029,1990,セガ,ドリームキャスト,木,3,0
M749030,1990,セガ,ドリームキャスト,木,3,0
M719302,1990,セガ,ドリームキャスト,木,3,0
M719303,1990,セガ,ドリームキャスト,木,3,0
M750085,1990,セガ,セガサターン,木,3,0
M765807,1990,セガ,ドリームキャスト,木,3,0
M719300,1990,セガ,ドリームキャスト,木,3,0
M719301,1990,セガ,ドリームキャスト,木,3,0
M738119,1990,セガ,ドリームキャスト,木,3,0
M760622,1990,セガ,ドリームキャスト,木,3,0
M719299,1990,セガ,ドリームキャスト,木,3,0
M724228,1990,セガ,ドリームキャスト,木,3,0
M762663,1990,セガ,ドリームキャスト,木,3,0
M719296,1990,セガ,ドリームキャスト,木,3,0
M719297,1990,セガ,ドリームキャスト,木,3,0
M738826,1990,セガ,ドリームキャスト,木,3,0
M744516,1990,セガ,ドリームキャスト,木,3,0
M756941,1990,セガ,ドリームキャスト,木,3,0
M719294,1990,セガ,ドリームキャスト,木,3,0
M719295,1990,セガ,ドリームキャスト,木,3,0
M724187,1990,セガ,ドリームキャスト,木,3,0
M724200,1990,セガ,ドリームキャスト,木,3,0
M755496,1990,セガ,ドリームキャスト,木,3,0
M757044,1990,セガ,ドリームキャスト,木,3,0
M757045,1990,セガ,ドリームキャスト,木,3,0
M719293,1990,セガ,ドリームキャスト,木,3,0
M750636,1990,セガ,セガサターン,木,3,0
M766233,1990,セガ,ドリームキャスト,木,3,0
M719292,1990,セガ,ドリームキャスト,木,3,0
M719289,1990,セガ,ドリームキャスト,木,3,0
M719290,1990,セガ,ドリームキャスト,木,3,0
M724135,1990,セガ,ドリームキャスト,木,3,0
M739474,1990,セガ,ドリームキャスト,木,3,0
M764656,1990,セガ,ドリームキャスト,木,3,0
M742692,1990,セガ,ドリームキャスト,木,3,0
M765098,1990,セガ,ドリームキャスト,木,3,0
M719284,1990,セガ,ドリームキャスト,木,3,0
M719285,1990,セガ,ドリームキャスト,木,3,0
M719286,1990,セガ,ドリームキャスト,木,3,0
M719287,1990,セガ,ドリームキャスト,木,3,0
M719288,1990,セガ,ドリームキャスト,木,3,0
M724100,1990,セガ,ドリームキャスト,木,3,0
M724101,1990,セガ,ドリームキャスト,木,3,0
M724102,1990,セガ,ドリームキャスト,木,3,0
M753271,1990,セガ,ドリームキャスト,木,3,0
M753272,1990,セガ,ドリームキャスト,木,3,0
M754420,1990,セガ,ドリームキャスト,木,3,0
M754421,1990,セガ,ドリームキャスト,木,3,0
M719281,1990,セガ,ドリームキャスト,木,3,0
M719282,1990,セガ,ドリームキャスト,木,3,0
M719283,1990,セガ,ドリームキャスト,木,3,0
M719275,1990,セガ,ドリームキャスト,木,3,0
M719277,1990,セガ,ドリームキャスト,木,3,0
M719278,1990,セガ,ドリームキャスト,木,3,0
M719279,1990,セガ,ドリームキャスト,木,3,0
M738186,1990,セガ,ドリームキャスト,木,3,0
M719274,1990,セガ,ドリームキャスト,木,3,0
M720435,1990,セガ,ドリームキャスト,木,3,0
M724043,1990,セガ,ドリームキャスト,木,3,0
M747689,1990,セガ,ドリームキャスト,木,3,0
M747690,1990,セガ,ドリームキャスト,木,3,0
M755410,1990,セガ,ドリームキャスト,木,3,0
M759928,1990,セガ,ドリームキャスト,木,3,0
M762408,1990,セガ,ドリームキャスト,木,3,0
M766469,1990,セガ,ドリームキャスト,木,3,0
M719271,1990,セガ,ドリームキャスト,木,3,0
M719272,1990,セガ,ドリームキャスト,木,3,0
M719273,1990,セガ,ドリームキャスト,木,3,0
M724016,1990,セガ,ドリームキャスト,木,3,0
M724017,1990,セガ,ドリームキャスト,木,3,0
M724018,1990,セガ,ドリームキャスト,木,3,0
M724019,1990,セガ,ドリームキャスト,木,3,0
M748244,1990,セガ,ドリームキャスト,木,3,0
M760448,1990,セガ,ドリームキャスト,木,3,0
M719266,2000,セガ,ドリームキャスト,木,3,1
M719267,2000,セガ,ドリームキャスト,木,3,1
M719264,2000,セガ,ドリームキャスト,木,3,1
M719265,2000,セガ,ドリームキャスト,木,3,1
M719263,2000,セガ,ドリームキャスト,木,3,1
M745947,2000,セガ,ドリームキャスト,木,3,1
M758735,2000,セガ,ドリームキャスト,木,3,1
M761886,2000,セガ,ドリームキャスト,木,3,1
M764685,2000,セガ,ドリームキャスト,木,3,1
M719261,2000,セガ,ドリームキャスト,木,3,1
M719262,2000,セガ,ドリームキャスト,木,3,1
M723968,2000,セガ,ドリームキャスト,木,3,1
M723983,2000,セガ,ドリームキャスト,木,3,1
M723958,2000,セガ,ドリームキャスト,木,3,1
M737605,2000,セガ,ドリームキャスト,木,3,1
M749633,2000,セガ,ドリームキャスト,木,3,1
M719260,2000,セガ,ドリームキャスト,木,3,1
M719259,2000,セガ,ドリームキャスト,木,3,1
M752721,2000,セガ,ドリームキャスト,木,3,1
M719258,2000,セガ,ドリームキャスト,木,3,1
M723925,2000,セガ,ドリームキャスト,木,3,1
M723933,2000,セガ,ドリームキャスト,木,3,1
M745950,2000,セガ,ドリームキャスト,木,3,1
M748221,2000,セガ,ドリームキャスト,木,3,1
M719257,2000,セガ,ドリームキャスト,木,3,1
M746932,2000,セガ,ドリームキャスト,木,3,1
M753823,2000,セガ,ドリームキャスト,木,3,1
M758621,2000,セガ,セガサターン,木,3,1
M762337,2000,セガ,ドリームキャスト,木,3,1
M719254,2000,セガ,ドリームキャスト,木,3,1
M719255,2000,セガ,ドリームキャスト,木,3,1
M719256,2000,セガ,ドリームキャスト,木,3,1
