アニメ作品ID,アニメ作品名,weekday,放送曜日,アニメ作品の合計話数
C11379,ヒロイック・エイジ,0,月,26
C11381,魔法少女リリカルなのはStrikerS,0,月,26
C9650,パニポニ,0,月,1
C9410,アンドロイド・アナ MAICO 2010,0,月,24
C14009,こんなこと できません,0,月,1
C14710,かよえ! チュー学,0,月,48
C11275,MASTER of EPIC The AnimationAge,0,月,12
C13971,ふしぎのヤッポ島　プキプキとポイ,0,月,5
C11283,デルトラクエスト,0,月,1
C9661,おじゃる丸,0,月,19
C11286,らき☆すた,0,月,24
C14733,スッキリ!!　×　映画　ひみつの　アッコちゃん　[～テクマクマヤコン　テクマクマヤコン　ステキなOLにな～れ!～],0,月,2
C16132,ベイブレードバースト ゴッド,0,月,26
C16133,アキンド星の リトル・ペソ,0,月,12
C11296,アニ*クリ15,0,月,11
C11948,キャラディのジョ～クな毎日,0,月,56
