mcname,ccname,cename,four_colored
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.109 神の子,True
週刊少年マガジン,エア・ギア,Trick:120,True
週刊少年マガジン,ファッションリーダー今井正太郎,第19話 「中身を見る方法」,True
週刊少年マガジン,SAMURAI DEEPER KYO,其之300 太極の神・伍の太刀～鬼神の暴走,True
週刊少年マガジン,IWGP IKEBUKURO WEST GATE PARK,電子の星 Period 1,True
週刊少年マガジン,涼風,#97 留学,True
週刊少年マガジン,Over Drive,39rpm Miguel INDURAIN,True
週刊少年マガジン,街刃 GAIJIN,第1話 渋谷の日鳥,True
週刊少年マガジン,少年無宿シンクロウ,第6歩 啖呵,True
週刊少年マガジン,クラック!!,第8話 危険人物,True
週刊少年マガジン,あひるの空,第92話 ALIVE,True
週刊少年マガジン,ケンコー全裸系水泳部 ウミショー,,True
週刊少年マガジン,スクールランブル,#159 JINGLE ALL THE WAY,True
週刊少年マガジン,エア・ギア,Trick:115,True
