マンガ作品名,ccid,掲載年,各話数,count,mean,掲載形態
弱虫ペダル,,1990,0.0,,0.0,モノクロ
弱虫ペダル,,1991,0.0,,0.0,4色カラー
弱虫ペダル,,1991,0.0,,0.0,モノクロ
弱虫ペダル,,1992,0.0,,0.0,4色カラー
弱虫ペダル,,1992,0.0,,0.0,モノクロ
弱虫ペダル,,1993,0.0,,0.0,4色カラー
弱虫ペダル,,1993,0.0,,0.0,モノクロ
弱虫ペダル,,1994,0.0,,0.0,4色カラー
弱虫ペダル,,1994,0.0,,0.0,モノクロ
弱虫ペダル,,1995,0.0,,0.0,4色カラー
弱虫ペダル,,1995,0.0,,0.0,モノクロ
弱虫ペダル,,1996,0.0,,0.0,4色カラー
弱虫ペダル,,1996,0.0,,0.0,モノクロ
弱虫ペダル,,1997,0.0,,0.0,4色カラー
弱虫ペダル,,1997,0.0,,0.0,モノクロ
