acid,アニメ作品名,アニメ各話数,放送日数,声優数
C10924,W Wish ダブルウィッシュ,13,13,7.0
C10926,Φなる・ あぷろーち,13,13,6.0
C10928,カッパの飼い方,26,26,2.0
C10930,みどりのくにの こえだちゃん,256,256,4.0
C10932,サムライガン,12,11,8.0
C10934,巌窟王,24,24,15.0
C10936,リングにかけろ 1,12,11,5.0
C10938,Legend of DUO,12,12,2.0
C10940,アークエと ガッチンポー,13,13,11.0
C10942,下級生2 ～瞳の中の少女たち～,13,13,9.0
C10944,ロックマンエグゼStream,51,51,9.0
C10946,Sweet Valerian,18,18,7.0
C10947,魔法先生 ネギま!,26,26,10.0
C10949,アークエと ガッチンポーてんこもり,12,12,11.0
C10951,ああっ女神さまっ,25,25,10.0
C10953,ピーチガール,25,25,9.0
C10955,B-伝説［ビーレジェンド］! バトルビーダマン炎魂［ファイヤースピリッツ］!,51,51,15.0
C10957,まほらば Heartful days,26,24,8.0
C10959,BUZZER BEATER,13,13,19.0
C10961,ふたりは プリキュアMax Heart,47,47,11.0
C10963,増田こうすけ劇場 ギャグマンガ日和,12,12,
C10965,まじめにふまじめ かいけつゾロリ,97,97,12.0
C10969,流星戦隊ムスメット　／　流星戦隊オトメット　／　帰ってきた! 流星戦隊ムスメット,13,13,12.0
C10972,School Rumble,26,26,13.0
C10974,砂ぼうず,24,24,4.0
C10976,レ・ミゼラブル 少女コゼット,52,52,13.0
C10978,がくえんゆーとぴあ まなびストレート!,12,12,9.0
C10980,VenusVersusVirus,12,12,16.0
C10982,のだめ カンタービレ,23,23,17.0
C10984,ひだまりスケッチ,14,13,8.0
C10986,月面兎兵器ミーナ,11,11,14.0
C10988,ToHeart2,14,14,7.0
C10990,獣装機攻ダンクーガノヴァ,13,13,12.0
C10992,NARUTO疾風伝,490,449,17.0
C10993,月詠 MOON PHASE,25,25,7.0
C10995,ファンタジック チルドレン,26,26,10.0
C10997,BLEACH,369,362,8.0
C10999,tactics,25,25,6.0
C11001,遙かなる時空のなかで 八葉抄,26,26,12.0
C11003,遊☆戯☆王 デュエルモンスターズ GX,180,180,17.0
C11005,双恋,13,13,14.0
C11007,BECK MONGORIAN CHOP SQUAD,26,26,10.0
C11009,ジパング,26,26,9.0
C11011,Rozen Maiden,12,12,6.0
C11013,機動戦士 ガンダム S［シード］ DESTINy,51,50,14.0
C11017,げんしけん,12,12,15.0
C11019,ブラックジャック,63,60,8.0
C11021,焼きたて!! ジャぱん,69,63,7.0
C11023,グレネーダー ほほえみの閃士,13,13,6.0
C11025,学園アリス,27,27,14.0
C11027,吟遊黙示録 マイネリーベ,13,13,10.0
C11029,メジャー,26,26,5.0
C11033,おれたちイジワルケイ,14,13,3.0
C11037,コロッケ!［第2期］,27,27,1.0
C11039,いない いない ばあっ!［第9期］,89,89,5.0
C11041,パンツぱんくろう,95,95,3.0
C11043,おじゃる丸［第7期］,90,90,13.0
C11045,忍たま乱太郎［第12期］,83,83,18.0
C11047,えいごでいっしょ! WAKU★WAKU ペンギー★ DOKI▼DOKI アドベンチャー,13,13,1.0
C11049,みらくる! ぱんぞう,20,20,9.0
C11051,ぴりっとQ［第2期］,10,10,1.0
C11053,U.H.O. フューチャーレスキュー2061,22,22,3.0
C11055,GANTZ ［地上波未放送篇］,13,13,17.0
C11059,［ぶんちゃかトリオ］,27,27,1.0
C11063,まじかるカナン,13,13,11.0
C11067,Starship Operators,13,13,17.0
C11069,らいむいろ流奇譚 X［cross］ ～恋、教ヘテクダサイ。～,13,13,16.0
C11071,Xenosaga THE ANIMATION,12,12,11.0
C11073,AIR,13,13,11.0
C11075,トランスフォーマー ギャラクシーフォース,52,52,8.0
C11077,ギャラリーフェイク,39,39,5.0
C11079,好きなものは好きだからしｮうがない!!,12,12,9.0
C11081,アルティメットガール,12,12,7.0
C11083,だめっこどうぶつ,26,26,6.0
C11085,GIRLSブラボー second season,13,13,12.0
C11087,NePoS NaPoS,26,26,12.0
C11089,モンチッチ,26,26,8.0
C11091,JINKI:EXTEND,12,12,13.0
C11093,英國戀物語エマ,12,12,12.0
C11095,こみっくパーティーRevolution,13,13,9.0
C11097,LOVELESS,13,13,16.0
C11099,SPEED GRAPHER,24,23,8.0
C11103,バジリスク 甲賀忍法帖,24,24,16.0
C11105,わがまま☆フェアリー ミルモでポン! ちゃあみんぐ,22,21,14.0
C11106,ふしぎ星の★ふたご姫,52,52,11.0
C11108,おねがいマイメロディ,52,52,8.0
C11110,MÄR メルヘヴン MÄRCHEN AWAKENS ROMANCE,102,102,11.0
C11112,うえきの法則,51,51,10.0
C11114,エレメンタル ジェレイド,26,26,12.0
C11116,創聖のアクエリオン,26,26,15.0
C11119,アイシールド21,145,142,9.0
C11121,いちご100％,12,12,9.0
C11123,ガラスの仮面［新］,51,51,
C11125,甲虫王者ムシキング 森の民の伝説,52,52,12.0
C11127,極上生徒会,26,26,15.0
C11129,フタコイ オルタナティブ,13,13,17.0
C11131,おでんくん The Adventure of Oden-kun[第1期],39,39,9.0
C11133,これが私の御主人様,12,12,12.0
C11135,ツバサ・クロニクル　年代記[第1期],26,26,12.0
C11137,ゾイド ジェネシス,50,50,8.0
C11139,ハチミツとクローバー,24,24,9.0
C11141,交響詩篇 エウレカセブン,51,50,13.0
C11143,新釈 戦国英雄伝説 眞田十勇士 ─The Animation─ ［シリーズ］,12,12,14.0
C11146,絶対少年,26,26,17.0
C11148,雪の女王,42,38,10.0
C11150,パタリロ 西遊記!,26,26,10.0
C11152,かみちゅ!,12,12,13.0
C11154,あまえ ないでよっ!!,13,13,5.0
C11156,機動新撰組 萌えよ剣TV,13,13,16.0
C11158,おくさまは 女子高生,13,13,12.0
C11160,FNS地球特捜隊 ダイバスター［スペシャル］,2,1,6.0
C11162,苺ましまろ,12,12,5.0
C11164,シュガシュガルーン,51,51,15.0
C11166,D.C.S.S. ～ダ・カーポ セカンドシーズン～,26,26,
C11168,奥さまは 魔法少女 Bewitched Arnès,13,13,8.0
C11170,ぱにぽにだっしゅ!,26,26,15.0
C11172,ガン×ソード,26,26,11.0
C11174,プレイボール,13,13,10.0
C11176,涼風［すずか］,26,26,11.0
C11178,TIDE-LINE BLUE,12,11,9.0
C11180,SHUFFLE!,24,24,12.0
C11182,ぺとぺとさん,13,13,12.0
C11184,ひまわりっ!!,14,14,10.0
C11187,CLUSTER EDGE,25,25,9.0
C11189,Solty Rei,24,22,12.0
C11191,銀盤 カレイドスコープ,12,12,11.0
C11193,福島民話館 ねぇ みんな…2,48,48,
C11195,韋駄天翔［イダテンジャンプ］,52,52,7.0
C11197,格闘美神 武龍［ウーロン］,25,25,9.0
C11199,魔法少女リリカルなのはA's,13,13,7.0
C11201,Canvas2 キャンバス2～虹色のスケッチ～,24,24,
C11203,はっぴぃセブン ～ざ・テレビまんが～,13,13,13.0
C11205,アニマル横町,104,51,4.0
C11207,Angel Heart,51,51,7.0
C11209,capeta,52,52,10.0
C11211,ガンパレード・オーケストラ,24,24,17.0
C11213,地獄少女,27,27,8.0
