アニメ作品ID,アニメ作品名,放送曜日,合計話数
C14946,DRAMAtical Murder,月,12
C13066,忍たま 乱太郎[第15期],月,12
C9663,鉄コミュニケイション,月,24
C14954,咲 Saki 全国編,月,13
C11253,南の島の小さな飛行機バーディー[第1期],月,3
C14958,精霊使いの剣舞,月,12
C16032,ポンコツクエスト -魔王と派遣の魔物たち- [第3期],月,12
C14604,ダンカイカレー中辛,月,17
C13068,おじゃる丸[第10期],月,19
C11257,モリゾーとキッコロ ［第2期］,月,4
C11838,キャシャーンSins,月,11
C14565,X-MEN エボリューション,月,2
C13246,きょうの料理ビギナーズ,月,24
C9661,おじゃる丸,月,19
C15280,おはよう ハクション 大魔王,月,37
C11273,SHUFFLE!memories,月,12
C11275,MASTER of EPIC The AnimationAge,月,12
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,月,4
C13244,味楽る!ミミカ[第2期],月,4
C11283,デルトラクエスト,月,1
C13242,白い本,月,6
C11286,らき☆すた,月,24
C15274,愛天地無用!,月,12
C11296,アニ*クリ15,月,11
C13070,[おかあさんと あそぼっ!] きょうの おはなし,月,6
C12273,学園黙示録 HIGH SCHOOL OF THE DEAD,月,12
C8328,ヨーヨーの猫つまみ,月,1
C11619,みなみけ おかわり,月,13
C9243,忍たま乱太郎[第3期],月,24
C12639,ドラえもん［新・第2期］,月,6
C16170,わしも[第5シリーズ],月,17
C9960,うちゅう人 田中太郎,月,6
C8577,シティーハンター3,月,11
C14740,たまごっち! ゆめキラドリーム,月,27
C9247,モジャ公,月,24
C15613,ドアマイガーD,月,13
C12888,レッチュ ゲッチュ サルゲッチュ,月,21
C15606,けいとのようせい ニットとウール,月,1
C13585,おじゃる丸[第13期],月,21
C13709,忍たま 乱太郎[第19期],月,18
C13960,アクエリオン EVOL[AQUARION　EVO*L],月,26
C16148,Re:CREATORS,月,1
C16146,ボールルームへようこそ,月,2
C15604,Good Morning!!! DORONJO,月,11
C16145,闇芝居[五期],月,13
C10151,SAMURAI GIRL リアルバウト ハイスクール,月,13
C10412,ぷちぷり* ユーシィ,月,26
C8623,アイドル天使 ようこそようこ,月,43
C14739,黄昏乙女× アムネジア,月,10
C14733,スッキリ!!　×　映画　ひみつの　アッコちゃん　[～テクマクマヤコン　テクマクマヤコン　ステキなOLにな～れ!～],月,2
C8728,ハローESCARGOT島,月,19
C12831,いない いない ばあっ!［第10期］,月,18
C13592,百花 繚乱 サムライガールズ,月,12
C10165,くるくるアミー,月,13
C10161,砂漠の海賊! キャプテンクッパ,月,25
C14698,Another,月,1
C9869,風雲! 戦国を駆ける武将 ～ アニメ 静岡県史～,月,2
C15624,ピカイア![シリーズ],月,3
C12635,クレイアニメ 太鼓の達人,月,13
C10370,ホイッスル!,月,38
C13700,たまゆら ～hitotose～,月,12
C12637,ミカンせいじんの30秒学習,月,45
C12476,ブラック.ジャック21,月,19
C12474,新星輝デュエル・マスターズ フラッシュ,月,24
C10153,筋肉 番付 金剛くんの大冒険!,月,1
