pkgid,pkgname,publisher,date,price
M727555,ナポレオン戦記,アイレム販売株式会社,1988-03-04,5500.0
M727554,アレックスキッド ザ ロストスターズ,セガ・エンタープライゼス,1988-03-10,5500.0
M727553,釣りキチ三平 ブルーマーリン編,ビクター音楽産業,1988-03-17,5500.0
M727551,信長の野望 全・国・版,光栄,1988-03-18,9800.0
M727552,谷川浩司の将棋指南 2 名人への道,ポニーキャニオン,1988-03-18,5500.0
M727550,R-TYPE 1,ハドソン,1988-03-25,4900.0
M727549,ゴルゴ13 第一章神々の黄昏,ビック東海,1988-03-26,5700.0
M727548,武田信玄,ホット・ビィ,1988-03-28,5800.0
M727547,BE-BOP-HIGHSCHOOL 高校生極楽伝説,データイースト株式会社,1988-03-30,5800.0
M727546,独眼竜政宗,ナムコ,1988-04-05,5500.0
M727545,双截龍,テクノスジャパン,1988-04-08,5800.0
M727543,仮面ライダーBLACK 対決 シャドームーン,バンダイ,1988-04-15,3300.0
M727544,燃えろ!!プロテニス,ジャレコ,1988-04-15,5500.0
M727541,遊々人生,ハドソン,1988-04-22,4500.0
M727542,風雲少林拳,ジャレコ,1988-04-22,3200.0
M727539,エリュシオン,東京書籍,1988-04-28,5500.0
M727540,キャプテン翼,テクモ株式会社,1988-04-28,5500.0
M727538,ディープダンジョン3 勇士への旅,スクウェア,1988-05-13,5900.0
M727537,プロ野球ワールドスタジアム,ナムコ,1988-05-20,4900.0
M727534,サラダの国のトマト姫,HUDSON SOFT,1988-05-27,5900.0
M727536,ナムコクラシック,ナムコ,1988-05-27,5900.0
M727535,忍者くん 阿修羅ノ章,ユーピーエル,1988-05-27,5300.0
M727533,R-TYPE 2,ハドソン,1988-06-03,4900.0
M727531,パワーリーグ,ハドソン,1988-06-24,4900.0
M727532,妖怪道中記,ナムコ,1988-06-24,4900.0
M727530,真田十勇士,コトブキシステム株式会社,1988-06-27,5800.0
M727529,戦国麻雀,HUDSON SOFT,1988-07-08,4900.0
M727528,ベストプレー プロ野球,アスキー,1988-07-15,5800.0
M727527,じゃりン子チエ ばくだん娘の幸せさがし,コナミ株式会社,1988-07-15,5800.0
M727526,Galaga '88,ナムコ,1988-07-15,4900.0
M727525,めぞん一刻,ボーステック株式会社,1988-07-21,5900.0
M727524,THE QUEST OF KI,ナムコ,1988-07-22,3900.0
M727523,熱血高校ドッジボール部,テクノスジャパン,1988-07-26,5800.0
M727522,三国志 中原の覇者,ナムコ,1988-07-29,6900.0
M727517,プロテニス ワールドコート,ナムコ,1988-08-12,4900.0
