アニメ作品ID,アニメ作品名,アニメ作品の合計話数
C14820,ガリレイドンナ Storia di tre sorelle a caccia di un mistero,11
C14821,ガンダム ビルドファイターズ,25
C14822,がんばれ! おでんくん LILY FRANKY PRESENTS The Adventure of Oden-kun,103
C14824,がんばれ! ルル ロロ TINY★TWIN★BEARS,26
C14825,君のいる町,12
C14826,境界の彼方,12
C14827,京騒戯画,13
C14828,きょうの料理　ビギナーズ　[第7期],32
C14829,キルラキル,24
C14830,銀河機攻隊 マジェスティック プリンス,25
C14831,ぎんぎつね,12
C14832,キングダム[第1期][総集編],13
C14833,キングダム[第2期],39
C14834,銀の匙 Silver Spoon,11
C14835,GJ部[グッジョぶ],12
C14836,黒子の バスケ[第2期],26
C14837,血液型くん!,13
C14839,幻影ヲ駆ケル太陽 il sole penetra le illusioni,14
C14840,ゴールデンタイム,24
C14842,古代紀行ドキュメンタリー　古事記の世界　CGアニメでひも解く　日本誕生物語[実写併用],2
C14843,COPPELION,13
C14844,The hired gun 殺し屋 さん,10
C14845,サーバント×サービス,14
C14846,最強銀河 究極[アルティメット] ゼロ バトルスピリッツ,50
C14847,サムライフラメンコ,22
C14848,島耕作の　アジア立志伝[第1期],9
C14849,島耕作の アジア立志伝[第2期],10
C14850,ジュエルペット ハッピネス,52
C14851,翠星のガルガンティア,13
C14852,Super Seishun Brothers -超青春姉弟s-,14
C14853,すすめ! キッチン戦隊 クックルン,20
C14854,ステラ 女学院高等科 C3〔しーきゅーぶ〕※,13
C14855,ストライク・ザ・ブラッド,25
C14856,スパロウズ　ホテル　[第1期],6
C14857,スパロウズ　ホテル　[第2期],6
C14858,生徒会の一存 Lv.2,10
C14859,声優戦隊 ボイストーム7,8
C14860,世界で いち ばん 強く なりたい!,12
C14861,絶対防衛 レヴィアタン,14
C14862,"戦姫絶唱 シンフォギアG In the distance,that day,when the star become music.",13
C14863,戦勇。[第1期],13
C14864,戦勇。[第2期],13
C14865,大怪獣ラッシュ ULTRA FRONTIER,5
C14866,ダイヤのA[エース],75
C14867,D.C.Ⅲ ～ダ・カーポⅢ～,13
C14868,鷹の爪 MAX,32
C14869,たまごっち! みらくるフレンズ,29
C14870,ダンガンロンパ THE ANIMATION 希望の学園と絶望の高校生,13
C14871,探検 ドリランド -1000年の真宝[まほう]-,51
C14872,断裁分離の クライムエッジ,13
C14873,団地 ともお,48
C14875,はいたい七葉　[第2期],13
C14877,爆TECH! 爆丸 ガチ,39
C14878,幕末義人伝 浪漫,12
C14879,はじめの 一歩 THE FIGHTING! Rising,25
C14881,八犬伝 -東方八犬異聞-,13
C14882,八犬伝　-東方八犬異聞-[第2期],13
C14884,バトルスピリッツ ソードアイズ 激闘伝,21
C14885,はなかっぱ[第4期],40
C14887,ハヤテのごとく! Hayate the combat butler Cuties,13
C14888,BEAST SAGA,38
C14889,びじゅチューン!,50
C14890,ひだまり　スケッチ　沙英・ヒロ　卒業編,2
C14891,ビビッドレッド オペレーション,13
C14892,ファイ・ブレイン 神のパズル[第3期],25
C14893,ファンタジスタドール,12
C14894,フォトカノ,13
C14895,ふたりは ミルキィホームズ,13
C14896,BROTHERS CONFLICT,12
C14897,ブラッドラッド,10
C14898,フリージング ヴァイブレーション,12
C14899,プリティー リズム レインボーライブ,51
C14900,フルーティー侍,12
C14901,BLAZ*BLUE ALTER MEMORY,12
C14902,変態王子と 笑わない猫。,12
C14903,僕の妹は 大阪 おかん,12
C14904,ぼくは王さま,14
C14905,ポケットモンスター XY,99
C14906,ポケットモンスター THE ORIGIN,4
C14907,まおゆう 魔王 勇者,13
C14908,魔界王子 devils and realist,12
C14909,マギ The kingdom of magic,25
C14910,マジでオタクなイングリッシュ! りぼんちゃん 英語で戦う魔法少女 the TV[第2期],10
C14911,マジンガーZIP!,159
C14912,機巧少女は 傷つかない Unbreakable Machine-Doll,13
C14913,まん がーる!,13
C14914,ミス・モノクローム -The Animation-,12
C14915,みに ヴぁん mini vanguard,37
C14916,ムシブギョー 蟲奉行,26
C14917,迷宮家族,12
C14918,メガネブ!,12
C14919,[〈物　語 〉 モノガタリ　シリーズ セカンドシーズン],26
C14920,問題児たちが 異世界から来る そうですよ?,10
C14921,やはり俺の 青春ラブコメは 間違っている。,13
C14922,ヤマノススメ,12
C14923,闇 芝* 居,13
C14924,勇しぶ。 勇者に なれなかった俺は しぶしぶ就職を決意しました。,12
C14925,夜桜四重奏 -ヨザクラカルテット- ハナノウタ,13
C14927,弱虫ペダル,38
C14928,よんでますよ、 アザゼルさん。Z,13
C14929,LINE TOWN,62
C14931,ラブライブ! School idol project,13
C14932,恋愛 ラボ,13
C14933,LOVELY❤ムービー いとしのムーコ Lovely Muuuuuuuco! The happy and daily life of Muco and Komatsu san!,20
C14934,Liv ＆ Bell,1
C14937,RDG レッドデータガール,12
C14938,ログ・ホライズン,28
C14939,ローゼン メイデン,13
C14941,ワルキューレロマンツェ,12
C14942,［ポケットモンスター ベストウイッシュ 特別編］,1
C14943,47都道府犬 Ｒ,36
C14944,Bｌａｄｅ ＆ Sｏｕｌ,13
C14945,CARDFIGHT!! ヴァンガード レギオンメイト編,33
C14946,DRAMAtical Murder,12
C14947,神々の悪戯[あそび],12
C14948,人生相談 テレビアニメーション 人生,13
C14949,世界征服 謀略のズヴィズダー,12
C14950,星刻の竜騎士[ドラグナー],12
C14951,生徒会 役員共＊,14
C14952,黒執事 Book of Circus,11
C14953,最近、 妹のようすが ちょっと おかしい んだが｡,12
C14954,咲 Saki 全国編,13
C14955,桜Trick,12
C14956,残響の テロル,11
C14957,召しませ ロードス島 戦記 それって おいしいの?,13
C14958,精霊使いの剣舞,15
C14965,暴れん坊力士!! 松太郎,23
C14966,僕らはみんな 河合荘,12
C14967,魔法科高校の 劣等生,26
C14968,魔法少女大戦,26
C14969,魔法戦争,12
C14970,毎度! 浦安鉄 筋家族,25
C14971,幕末 Ｒｏｃｋ,12
C14972,未確認で進行形,12
C14973,FAIRY TAIL［第2期］,102
C14974,Fate/kaleid liner プリズマ ★イリヤ 2ｗｅｉ!,10
C14975,Ｆｒｅｅ! Eternal Summer,12
C14976,Go♪ Go♪ 575,4
C14977,Go-Go たまごっち!,75
C14978,LO*VE STAGE!!,10
C14979,Ｍ３ ソノ黑キ鋼,24
C14980,MARVEL ディスク・ウォーズ アベンジャーズ,51
C14981,P4GA persona4 the Golden ANIMATION,12
C14982,PSYCHO-PASS［新編集版］,10
C14983,ｐｕｐａ,12
C14984,ＲＡＩＬＷＡＲＳ!,12
C14985,Ｒｅ:［* HAMATORA リプライハマトラ,12
C14986,ｓｅｌｅｃｔｏｒ infected WIXOSS,12
C14987,SOUL EATER NOT！,13
C14988,STRANGE +,13
C14989,survival game club! さばげぶっ!,12
C14990,TERRA FORMARS,13
C14991,Wake Up， Girls!,12
C14992,Z/X IGNITION,12
C14993,ΛLDNOΛH. ZERO,12
C14994,アオハライド THE SCENT OF AIR AFTER THE RAIN… I HEARD YOUR PULSE. I SAW THE LIGHT.,12
C14995,アカメが斬る!,24
C14996,いなり､こんこん､ 恋いろは｡,10
C14997,ウィザード･バリスターズ 弁魔士セシル,12
C14998,ウィッチクラフトワークス,12
C14999,うーさーの その日暮らし 覚醒編,12
C15000,エスカ＆ロジーのアトリエ ～黄昏の空の錬金術士～,12
C15001,おじゃる丸［第17期］,70
C15002,オレカバトル,51
C15003,お姉ちゃんが来た,12
C15004,ガイスト クラッシャー ゴッド編,15
C15005,カリーノ コニ,36
C15006,ガンダムさん,26
C15007,"キャプテン･アース WHEN I OPENED THE DOOR CALLED TRUTH, MY CHILDHOOD ENDED. IT WAS A SUMMER I COULD NEVER FORGET.",25
C15008,くつだる｡,32
C15009,グラスリップ,13
C15010,ケロロ,24
C15011,ご注文は うさぎ ですか？,12
C15012,シドニアの騎士,12
C15013,ジョジョの 奇妙な冒険 スターダストクルセイダース,24
C15014,スペース★ダンディ［第1期］,14
C15015,スペース★ダンディ［第2期］,12
C15016,ソードアート･オンラインⅡ,25
C15017,そに○アニ SUPER SONICO THE ANIMATION,12
C15018,それでも世界は美しい,12
C15019,ちょぼらうにょぽみ劇場 第二幕 あいまいみー ～妄想カタストロフ～,13
C15020,ディーふらぐ! D-FRAGMENTS,12
C15021,デート･ア･ライブⅡ,10
C15022,てさぐれ！ 部活もの あんこーる,12
C15023,デュエル･マスターズ VS,49
C15024,テンカイナイト,51
C15025,とある 飛空士への 恋歌,13
C15026,となりの関くん,13
C15027,となりの関くん［地上波未放映版］,8
C15028,トライブ クルクル,50
C15029,ドラゴン コレクション,51
C15030,ニセコイ,20
C15031,にゃ～めん,22
C15032,のうりん,12
C15033,ノーゲーム ・ ノーライフ,12
C15034,ノブナガ･ザ･フール,24
C15035,ノブナガン,13
C15036,ノラガミ,12
C15037,ハイキュー!!,25
C15038,バディ☆ コンプレックス,13
C15039,ハナヤマタ,12
C15040,ハピネスチャージプリキュア!,49
C15041,ハマトラ THE ANIMATION,12
C15042,ばらかもん,12
C15043,ヒーローバンク,51
C15044,ひめゴト SECRET PRINCESS HIMEGOTO,13
C15045,ピンポン THE ANIMATION,11
C15046,プピポー!,15
C15047,フューチャーカード バディファイト,65
C15048,ブラック･ブレッド [黒の銃弾],13
C15049,プリ❤パラ,127
C15050,ベイビーステップ,26
C15051,マケン姫っ! 通,10
C15052,まじもじ るるも,12
C15053,マジンボーン,52
C15054,マンガ家さんと アシスタントさんと THE ANIMATION,12
C15055,メカクシティアクターズ,12
C15056,モモキュン ソード,12
C15057,ヤマノススメ セカンドシーズン,27
C15058,ラブライブ! School idol project［第2期］,14
C15059,レディ ジュエルペット,52
C15060,ロボットガールズ Z,6
C15061,悪魔の リドル riddle story of devil,12
C15062,一週間 フレンズ｡,12
C15063,棺姫のチャイカ,12
C15064,鬼灯の 冷徹,13
C15065,極黒のブリュンヒルデ,13
C15066,金色のコルダ Blue♪Sky,12
C15067,金田一少年の 事件簿Ｒ[リターンズ],25
C15068,銀の匙 Silver Spoon［第2期］,11
C15069,月刊 少女 野崎くん,12
C15070,健全ロボ ダイミダラー,12
C15071,犬神さんと猫山さん,13
C15072,少年ハリウッド - HOLLY STAGE FOR 49 -,13
C15073,信長協奏曲,10
C15074,真[SIN]ストレンジ+プラス,13
C15075,戦国 BASARA Judge End,12
C15076,団地 ともお［第2期］,90
C15077,中二病でも 恋がしたい! 戀,12
C15078,超爆裂異次元メンコバトル ギガントシューターつかさ,32
C15079,東京ESP,11
C15080,東京喰種 トーキョーグール,12
C15081,忍たま 乱太郎［第22期］,75
C15082,白銀の意思 アルジェヴォルン,25
C15083,彼女がフラグを おられたら,13
C15084,普通の女子校生が 【ろこどる】 やってみた。,12
C15085,風雲維新 ダイ☆ショーグン,12
C15086,遊★戯★王アーク･ファイブ ARC-V,137
C15087,妖怪ウォッチ,374
C15088,龍ヶ嬢七々々の 埋蔵金,11
C15089,六畳間の侵略者!?,13
C15090,蟲 師 ［続章］,12
C15091,いない いない ばあっ![第4期],36
C15092,いない いない ばあっ![第5期],66
C15094,バットマン THE ANIMATED SERIES,26
C15232,ダンジョンに出会いを 求める のは間違っているだろうか FAMILIA MYTH,13
C15233,旦那が何を言っているか わからない件 2スレ目,13
C15234,MONSTER・HIGH こわ・イケガールズ,8
C15235,PSYCHO-PASS 2,11
C15236,俺物語!!,24
C15237,がっこうぐらし! SCHOOL-LIVE!,12
C15238,GATCHAMAN CROWDS in sight,12
C15239,ピクレレ めざせ! ウクレレピクニック イン ハワイ,15
C15240,ふうせんいぬ ティニー,15
C15241,てーきゅう[第4期],12
C15242,THE iDOLM@STER シンデレラガールズ[第2期],14
C15243,実は私は I am…,13
C15244,下ネタという 概念が存在しない 退屈な世界,13
C15245,Charlotte,14
C15247,NHKスペシャル 故宮 TREASURES OF IMPERIAL CHINA,2
C15248,おにく だいすき! ゼウシくん,12
C15249,終物語[オワリモノ ガタリ],25
C15250,血液型くん! 3,24
C15270,はりきり体育ノ介　[第1期],10
C15271,まじっく快斗 1412,24
C15272,ログ・ホライズン　[第2期],26
C15273,ワールドトリガー,75
C15274,愛天地無用!,60
C15275,異能バトルは日常系のなかで,12
C15276,山田くんと7人の魔女,13
C15277,レーカン!,13
C15278,"ローリング☆ガールズ Rolling, Falling, Scrambling. For others. For themselves",12
C15279,わかば・ガール,13
C15280,おはよう ハクション 大魔王,182
C15281,おへんろ。 - 八十八歩記 - [はちはちあるき],34
C15282,カネコさん,1
C15283,（仮）兎[カリウサギ] マサル 笑う夜には福来たるって マジっすか!?,16
C15284,がんばれ! ルル ロロ TINY★TWIN★BEARS[第2期],14
C15285,貴族小学生 アントワネットちゃん,2
C15286,キョートカクテル [第1期],16
C15287,きょうの料理 ビギナーズ [第8期],72
C15288,きらめけ!! メガネボーイ,36
C15329,GREGORY HORROR SHOW THE BLOODY KARTE,12
C15330,[サンリオアニメ 世界名作劇場],39
C15333,reckless bear,4
C15334,THE CUCUMBERS!,2
C15339,バットマン ザ・フューチャー,30
C15340,PiNMeN,12
C15341,スパイダーマン [2004年版・合作],53
C15342,スマアニメ SPECIAL,5
C15343,超生命体トランスフォーマー ビーストウォーズ リターンズ,26
C15344,のってけエクスプレッツ,26
C15345,ハウス・オブ・マウス ～ミッキーと ディズニーのなかまたち～,1
C15346,[ペコラ],1
C15347,GANTZ※,2
C15349,超ぽじてぃぶ! ファイターズ 闘魂野球伝,16
C15350,魔豆奇伝 パンダリアン,26
C15351,プロジェクト パポ,26
C15352,ウサビッチ[シーズン3],13
C15355,ドラゴンボール改[第2期],61
C15357,目玉焼きの黄身、いつつぶす？,4
C15360,[デビクロってなに?],3
C15361,Bonjour♪ 　恋味パティスリ～,9
C15362,Calimro カリメロ,78
C15363,CARDFIGHT!! ヴァンガードG,48
C15364,Fate/stay night [Unlimited Blade Works]　[第1期],13
C15365,G[Gundam]のレコンギスタ,26
C15366,GARO 炎の刻印,25
C15367,GF ガールフレンド（仮）,13
C15368,Hi☆sCoool! セハガ～ル,13
C15370,selector spread　WIXOSS,12
C15371,SHIRO BAKO,24
C15373,アニメ おしりかじり虫　[第3期],10
C15374,オオカミ少女 と 黒王子,13
C15375,おまけアニメ ゆるがろ ララフォンソのドキドキティータイム,11
C15376,オレん家のフロ事情,13
C15377,ガンダム ビルドファイターズトライ,25
C15378,ぐらP＆ろで夫　[第1期],10
C15379,グリザイアの果実,13
C15380,クロスアンジュ 天使と竜の輪舞[ロンド],25
C15381,こんな私たちがなりゆきでヒロインになった結果www なりヒロ,12
C15382,デンキ街の本屋さん,31
C15383,トリニティセブン,12
C15384,ナノ・インベーダーズ,12
C15385,俺、ツインテールに なります。,12
C15386,怪盗ジョーカー MYSTERIOUS JOKER,12
C15387,棺姫のチャイカ -- AVENGING BATTLE --,10
C15388,甘城ブリリアント パーク,13
C15389,寄生獣 セイの格率,24
C15390,暁のヨナ -The girl standing　 in the blush of dawn-,24
C15391,繰繰れ!コックリさん,12
C15392,結城友奈は勇者である,12
C15393,黒魔法少女 ワリー,10
C15394,山賊の娘ローニャ,27
C15395,四月は君の嘘　I met the girl　 under full-bloomed cherry　 blossoms. and my fate has　 begun to change.,22
C15396,七つの大罪 The Seven Deadly Sins,25
C15397,失われた未来を求めて A* la recherche du futur perdu,12
C15398,弱虫ペダル GRANDE ROAD,24
C15399,神撃のバハムート GENESIS,13
C15400,接続無用,4
C15401,大図書館の羊飼い a good librarian　like a good shepherd,13
C15402,旦那が何を言っているかわからない件,13
C15403,天体のメソッド,13
C15404,島耕作のアジア立志伝　[第4期],2
C15405,曇天に笑う,12
C15406,魔弾の王と戦姫[ヴァナディーズ],13
C15407,脇役目線 主客逆転! 教訓体感アニメ　[シリーズ],4
C15408,蟲師 [続章][後半],11
C15410,雨色ココア RAINY COCOA,13
C15411,ΛLDNOΛH.ZERO[第2期],13
C15412,VAMPIRE HOLMES,12
C15413,うたの☆プリンスさまっ♪ マジ LOVE レボリューションズ,13
C15414,うらわの調*ちゃん[うさぎ],12
C15415,えとたま 干支魂,12
C15416,終わりのセラフ,12
C15417,怪 盗 ジョーカー MYSTERIOUS JOKER[第2期],13
C15418,Gunslinger Stratos ―― THE ANIMATION ―,12
C15419,キュートランスフォーマー 帰ってきたコンボイの謎*,13
C15420,グリザイアの楽園,10
C15421,黒子の バスケ[第3期],25
C15422,血液型くん! 2,24
C15423,血界戦線,13
C15424,攻殻機動隊 ARISE ALTERNATIVE ARCHITECTURE,12
C15425,シドニアの騎士 第九惑星戦役,12
C15426,少年ハリウッド - HOLLY STAGE FOR 50 -,13
C15427,SHOW BY ROCK!!,12
C15428,蒼穹のファフナー Dead Aggressor EXODUS,13
C15429,高宮なすのです! てーきゅうスピンオフ,12
C15430,てさぐれ! 部活もの すぴんおふ プルプルんシャルム と遊ぼう,12
C15431,DOG DAYS'',12
C15432,トリアージX[イクス],10
C15433,長門有希ちゃんの消失,16
C15434,ニセコイ:,13
C15435,にゅるにゅる!! KAKUSENくん 2期,13
C15436,忍たま 乱太郎[第23期],70
C15437,ハイスクール DXD BorN,12
C15438,ハロー!! きんいろモザイク,12
C15439,ぱんきす! 2次元,24
C15440,パンチ ライン,12
C15441,響け♪ ユーフォニアム Sound! Euhonium,13
C15442,Fate ／ stay night [Unlinited Blade Works][第2期],13
C15443,プラスティック メモリーズ,13
C15444,放課後のプレアデス,12
C15445,魔法少女 リリカル なのは☆ ViVid,13
C15446,ミカグラ学園組曲,12
C15447,みんな集まれ! ファルコム 学園 SC,13
C15448,やはり俺の 青春ラブコメは まちがっている。 ― 続 ―,13
C15449,ISUCA,10
C15450,神様 はじめました ◎,12
C15451,艦隊これくしょん 艦 これ Fleet Girls Collection KanColle Animation Sequence,12
C15452,幸×腹 グラフィティ,12
C15453,THE iDOLM＠STER シンデレラガールズ［第１期］,15
C15454,銃皇無尽の ファフニール,12
C15455,"純潔のマリア Soriérede Gré, Pucelle de Force",12
C15456,ジョジョの 奇妙な冒険 スターダスト クルセイダース ［エジプト編］,24
C15457,新妹魔王の契約者[テスタメント],12
C15458,アブソリュート・ デュオ,12
C15459,暗殺教室,22
C15460,おじゃる丸［第18期］,63
C15461,冴えない彼女*の 育てかた[ヒロイン],13
C15462,聖剣使いの 禁呪詠唱[ワールドブレイク],12
C15463,青春[アオハル]×機関銃,13
C15464,赤髪の白雪姫[第1期],12
C15465,アクエリオン ロゴス,26
C15466,アニメ 怪獣酒場 カンパーイ!,13
C15467,アルスラーン 戦記 THE HEROIC LEGEND OF ARSLAN,26
C15468,VENUS PROJECT ―CLIMAX―,12
C15469,うーさーの その日暮らし 夢幻編,13
C15470,うしおととら,26
C15471,英国一家、 日本を食べる Sushi and Beyond,25
C15472,おくさまが 生徒会長！,12
C15473,OVERLORD,13
C15474,おまかせ! みらくるキャット団,32
C15475,GANGSTA.,13
C15476,キュートランスフォーマー さらなる人気者への道,13
C15477,境界の RINNE,26
C15478,銀魂゜,54
C15479,空戦魔導士 候補生の教官,12
C15480,くつだる。[第2期],16
C15481,CLASSROOM CRISIS,13
C15482,ケイオスドラゴン 赤竜戦役,12
C15483,GATE 自衛隊 彼の地にて、斯く戦えり,12
C15484,GOD EATER,14
C15485,GON[第2期],26
C15486,ジュエルペット Magical Change,70
C15487,純情ロマンチカ3,12
C15488,城下町の ダンデライオン,23
C15489,食戟 の ソーマ,25
C15490,洲崎西 THE ANIMATION,13
C15491,戦姫絶唱 シンフォギアGX,13
C15492,創勢の アクエリオン EVOL,1
C15493,それが声優！,13
C15494,ダイヤのA[エース] -SECOND SEASON-,63
C15495,"DiABOLiK LOVERS MORE, BLOOD",14
C15496,てーきゅう[第5期],12
C15497,デュエル・マスターズVSR,51
C15498,デュラララ!!×2転,12
C15499,電波教師 HE IS AN ULTIMATE TEACHER,24
C15500,DRAGON BALL 超[スーパー],72
C15501,To LOVEる ダークネス2nd,15
C15502,トランスフォーマー アドベンチャー[第1期],13
C15503,トランスフォーマー アドベンチャー[第2期],13
C15504,バトルスピリッツ 烈火魂[バーニングソウル],51
C15505,BIKINI WARRIORS,12
C15506,フューチャーカード バディファイト 100[HUNDRED],50
C15507,ベイビーステップ[第2期],26
C15508,枕男子[まくらのだんし],12
C15509,ミス・モノクローム -The Animation- 2,13
C15510,ミリオンドール,13
C15511,六花の勇者,12
C15512,WORKING!!!,13
C15513,ワカコ酒,13
C15514,キリン ザ ヌープ,2
C15515,銀河特急 イチジョウマン 7,35
C15516,ぐでたま,432
C15517,Go!Go! 家電男子[第1期],12
C15518,Go!Go! 家電男子[第2期],69
C15519,コロッケトーサンがいく,6
C15520,コンパクト もののくま,92
C15521,The Sushitown あるスシのくらし,72
C15522,深海魚,5
C15523,すすめ! キッチン戦隊 クックルン[第2期],62
C15524,Go! プリンセスプリキュア,46
C15525,こにぎり くん,2
C15527,戦国無双,12
C15529,だんちがい,13
C15530,蒼穹のファフナーDead Aggressor EXODUS[第2期],26
C15531,対魔導学園35試験小隊,24
C15532,Dance with Devils,24
C15533,ちょぼらうにょぽみ劇場～新章～不思議なソメラ ちゃん,26
C15534,DD北斗の拳 2イチゴ味+[プラス],72
C15535,[せかいのおはなし シリーズ],2
C15536,大怪獣ラッシュ ULTRA FRONTIER[第2期],9
C15537,鷹の爪 EX[エクストリーム],32
C15538,★ 時をかけるギャル ★ トキコ,5
C15539,猫のダヤン,34
C15540,猫 ピッチャー,28
C15541,野 良 ス コ,32
C15542,爆笑お笑いコンビ ツルとカメ,3
C15543,パックワールド,36
C15544,はなかっぱ[第5期],57
C15545,fran❤cesca [フ ラ ン チェ ス カ],24
C15546,みんなだいすき そらジロー,158
C15547,迷宮家族Ⅱ,30
C15549,森の人と 小てんぐちゃん,1
C15550,LOVELY❤MOVIE いとしの ムーコ Lovely Muuuuuuuco! Season 2,22
C15552,みんな集まれ! ファルコム 学園,13
C15553,蟲 師 [続章][特別篇],1
C15554,めいたんてい ラスカル,12
C15555,もっふり モフ☆モフ,25
C15556,闇 芝* 居[第2期],13
C15557,落第騎士の 英雄譚[キャバルリィ]A TALE OF WORST ONE,24
C15558,ランス アンドマスクスKnights of the World.,24
C15559,ONE PUNCH MAN ワンパンマン,24
C15560,ONE PIECEアドベンチャー オブ ネブランディア,1
C15561,新妹魔王の契約者[テスタメント] BURST,20
C15562,てーきゅう[第6期],26
C15563,猫なんかよんでもこない。,12
C15564,猫のダヤン日本へ行く,23
C15565,ワールド フール ニュース,13
C15568,株式会社きゅーか くさなぎ社長と秘書ロジコマ,10
C15569,監督不行届,13
C15570,君はバイシクル 私はトレインでGO HOME,2
C15571,昆虫物語 てんとうむChu! と みつばちハッChu!,10
C15572,サムソンの ダジャレDE英単語,14
C15573,島耕作の アジア立志伝 [第3期],2
C15574,シュガー** ソルジャー,3
C15575,スミ子,8
C15577,ダダダダ ダディーマン,3
C15578,地下すぎアイドル あかえ ちゃん,12
C15579,超ゼンマイロボ パトラッシュ,13
C15581,ナンダカ ベロニカ,10
C15583,バキバキ モンスター,17
C15585,ハルマゲ丼の 地球侵略,6
C15586,不思議の国のロンリ劇場,9
C15588,みならい ディーバ （※生アニメ）,10
C15589,ゆうとくんがいく,1
C15591,ロマンチカ クロック,3
C15592,脇役目線 主客逆転! 教訓体感アニメ [パイロット版],3
C15593,わし*も[第1期],10
C15595,島耕作の アジア立志伝 新春スペシャル 世界と戦う日本の長期戦略とは? 島耕作のアジア立志伝シンポジウム,2
C15597,100分 de 名著 新春スペシャル 100分 de 幸福論,4
C15598,ウサビッチ[ZERO],14
C15599,うわばき クック,13
C15600,オシリスの天秤,10
C15601,【オレアレ】,5
C15602,キョートカクテル Season 2,18
C15603,金 夜 安部 礼司 ～平均的サラリーマンの異常な日常～,5
C15604,Good Morning!!! DORONJO,58
C15605,暗闇三太,13
C15606,けいとのようせい ニットとウール,2
C15607,極道酒場 でんでん ～極道大戦争外伝～,3
C15608,探偵歌劇 ミルキィホームズ TD,12
C15610,デス・パレード,12
C15611,出番ですよ! オニギリズ,6
C15612,デュラララ!!×2承,12
C15613,ドアマイガーD,13
C15614,東京乙女 レストラン 乙レス SD[サイドディシュ][第1期],12
C15615,東京喰種 トーキョーグール √A,12
C15616,どれみ えーる,5
C15619,のんのんびより りぴーと,15
C15620,ハッピー ジョージ,15
C15621,はなかっぱ[第6期],58
C15623,ビーズの森の らびぃ,1
C15624,ピカイア![シリーズ],13
C15625,美男 高校 地球防衛部 LOVE!,12
C15626,干物妹[ひもうと]! うまるちゃん,12
C15627,ふうせんいぬ ティニー[第2期],12
C15628,Fate/kaleid liner プリズマ ★イリヤ 2wei Herz!,10
C15630,ブーブーボーイ,16
C15631,監獄 学園[プリズンスクール],12
C15633,本当にあった 動物影絵館,5
C15634,みりたり！,13
C15635,モンスター 娘のいる日常,12
C15636,ユリ熊嵐 LOVE BULLET・YURIKUMA ARASHI,13
C15637,夜ノヤッターマン,13
C15638,乱歩奇譚 Game of Laplace,11
C15641,私たちが プロポーズ されないのには 101の理由が あってだな Season 2,1
C15656,青春[アオハル]×機関銃[特別編],2
C15657,雨色ココアRAINY COCOA Rainy colorへようこそ!,26
C15658,アニメおしりかじり虫[第4期],20
C15659,VALKYRIEDRIVE MERMAID,24
C15660,俺がお嬢様学校に「庶民サンプル」 としてゲッツ❤された件,24
C15661,終わりのセラフ名古屋決戦編,26
C15662,温泉幼精ハコネちゃん,26
C15663,学戦都市 アスタリスクTHE ASTERISK WARThe Academy City on the Water[第1期],24
C15664,影鰐KAGEWANI,26
C15665,K RETURN OF KINGS,26
C15666,ご注文はうさぎですか??,24
C15667,コメットルシファーNOW ADVENTURE BEGINS-WITH YOU. FRIENDSAND OUR DESTINY.,24
C15668,小森さんは断れない!,26
C15669,コンクリート・レボルティオ超人幻想,26
C15670,櫻子さんの足下には 死体が埋まっている,24
C15671,Steins;Gate[第23話（β） 改変版],4
C15672,進撃!巨人中学校attack on titan : juniorhigh!,27
C15673,- スタミュ -高校星歌劇,24
C15674,すべてがFになる,22
C15675,ノラガミARAGOTO,26
C15676,ハッカドールTHE・あにめ～しょん,26
C15677,緋弾のアリアAA,24
C15678,こちら葛*飾区 亀有公園前 派出所［2016年スペシャル］,1
C15682,カワバカジマ,12
C15684,脳に快感! スペシャル バカと科学で バ科学 なのだ!!,3
C15686,怪 盗 ジョーカー MYSTERIOUS JOKER[第3期],13
C15687,文豪ストレイドッグス[第1期],12
C15688,MAGI シンドバッドの冒険,13
C15689,DAYS,12
C15690,少年メイド,12
C15691,坂本ですが?,25
C15692,食戟 の ソーマ 弐ノ皿,13
C15693,Peeping Life TVシーズン1 ??,96
C15694,ミス・モノクローム-The Animation- 3,26
C15695,ヤングブラック.ジャック,24
C15696,謎*新聞 ミライタイムズ [第1期],40
C15697,猫嫌いの家に 生まれた猫好きが 猫と暮らす絵日記,13
C15698,BAR 嫌われ野菜,13
C15699,うぇいくあっぷがーる ZOO!,10
C15700,うさぎのモフィ [第2期],12
C15701,美男○*高校 地球防衛部 LOVE! LOVE!,12
C15702,91 Days,12
C15703,DIGIMON UNIVERSE アプリモンスターズ,13
C15704,time↗ bokan 24,13
C15705,猫のダヤン ふしぎ劇場,14
C15706,ViVid Strike! Thou shalt not be afraid I am with you,13
C15707,おくさまが 生徒会長!+!,12
C15708,雨色ココア RAINY COCOA in Hawaii,12
C15709,魔法少女 育成計画,12
C15710,CARDFIGHT!! ヴァンガードG NEXT,13
C15711,スクールガール ストライカーズ Animation Channel,13
C15713,フーパの おでまし大作戦!! 大成功!?,6
C15714,不思議の国のロンリ劇場 [第2期],10
C15715,ぷれぷれ ぷれあです,8
C15716,とんかつ DJ アゲ太郎,12
C15717,甘々と稲妻,12
C15718,SHOW BY ROCK!! しょ～と!!,12
C15720,初恋モンスター,12
C15721,不機嫌な モノノケ庵,13
C15722,アルプスの少女ハイジ? ちゃら おんじ,80
C15723,きもしば[第1期],13
