ceid,cename,ccid,miid,page_start,page_end,pages,page_start_position,two_colored,four_colored,miname,mcid,mcname,date,price,ccname
CE58078,其之五百九 全宇宙を賭けた試合,C87667,M543555,67.0,79.0,13.0,0.1519274376417233,False,False,週刊少年ジャンプ 1995年 表示号数14,C119459,週刊少年ジャンプ,1995-03-20,200.0,DRAGON　BALL
CE58099,其之五百八 純粋の魔人ブウ,C87667,M543556,89.0,101.0,13.0,0.2186732186732186,False,False,週刊少年ジャンプ 1995年 表示号数13,C119459,週刊少年ジャンプ,1995-03-13,190.0,DRAGON　BALL
CE58117,其之五百七 ブウの中のブウとブウ,C87667,M543557,43.0,55.0,13.0,0.1077694235588972,False,False,週刊少年ジャンプ 1995年 表示号数12,C119459,週刊少年ジャンプ,1995-03-06,190.0,DRAGON　BALL
CE58138,其之五百六 ブウの中の悟空とベジータ,C87667,M543558,83.0,95.0,13.0,0.1882086167800453,False,False,週刊少年ジャンプ 1995年 表示号数11,C119459,週刊少年ジャンプ,1995-02-27,200.0,DRAGON　BALL
CE58158,其之五百五 挑発するベジット,C87667,M543559,77.0,89.0,13.0,0.1820330969267139,False,False,週刊少年ジャンプ 1995年 表示号数10,C119459,週刊少年ジャンプ,1995-02-20,200.0,DRAGON　BALL
CE58178,其之五百四 天下無敵の合体おとうさん,C87667,M543560,61.0,73.0,13.0,0.1462829736211031,False,False,週刊少年ジャンプ 1995年 表示号数9,C119459,週刊少年ジャンプ,1995-02-13,190.0,DRAGON　BALL
CE58198,其之五百三 孫悟空 最後の合体!!,C87667,M543561,63.0,75.0,13.0,0.1563275434243176,False,False,週刊少年ジャンプ 1995年 表示号数8,C119459,週刊少年ジャンプ,1995-02-06,190.0,DRAGON　BALL
CE58218,其之五百二 成功するか!?ポタラの合体!,C87667,M543562,45.0,57.0,13.0,0.0997782705099778,False,False,週刊少年ジャンプ 1995年 表示号数7,C119459,週刊少年ジャンプ,1995-01-30,200.0,DRAGON　BALL
CE58239,其之五百一 救世主登場!?,C87667,M543563,17.0,37.0,21.0,0.0347648261758691,True,True,週刊少年ジャンプ 1995年 表示号数5,C119459,週刊少年ジャンプ,1995-01-17,210.0,DRAGON　BALL
CE58266,其之五百 大逆転,C87667,M543565,137.0,149.0,13.0,0.2756539235412474,False,False,週刊少年ジャンプ 1995年 表示号数3,C119459,週刊少年ジャンプ,1995-01-10,210.0,DRAGON　BALL
CE58288,其之四百九十九 罠,C87667,M543566,65.0,77.0,13.0,0.1434878587196468,False,False,週刊少年ジャンプ 1995年 表示号数2,C119459,週刊少年ジャンプ,1995-01-08,200.0,DRAGON　BALL
