,ceid,cename,pages,page_start_position,ccname,mcname,date
148,CE00148,#130　／　バスト　／　はあはあ　／　亀の舞台　／　スイッチON　／　人型決戦ロボット　／　おたから　／　日常テイスト,4.0,0.8455114822546973,生徒会役員共,週刊少年マガジン,2011-04-13
149,CE00149,#220 サッカーに革命を,20.0,0.8538622129436325,エリアの騎士,週刊少年マガジン,2011-04-13
150,CE00150,#86 飲まれてむろみさん,6.0,0.8956158663883089,波打際のむろみさん,週刊少年マガジン,2011-04-13
151,CE00151,code:128 復活への狼煙,20.0,0.908141962421712,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-04-13
152,CE00152,第79話 伝統希望と勇気の日,8.0,0.9498956158663884,だぶるじぇい,週刊少年マガジン,2011-04-13
153,CE00153,File.304 ウソつきには騎士道が効く!,6.0,0.9665970772442588,もう、しませんから。,週刊少年マガジン,2011-04-13
154,CE00154,,2.0,0.9979123173277662,ミヤジマがお知らせします。,週刊少年マガジン,2011-04-13
155,CE00155,第232話 SHINE ON,26.0,0.02073732718894,ダイヤのA,週刊少年マガジン,2011-04-06
156,CE00156,第88話,21.0,0.0806451612903225,我間乱 ～GAMARAN～,週刊少年マガジン,2011-04-06
157,CE00157,第227話 ルーシィファイア,20.0,0.1313364055299539,FAIRY TAIL,週刊少年マガジン,2011-04-06
158,CE00158,第16話 猛攻。,20.0,0.1774193548387097,振り向くな君は,週刊少年マガジン,2011-04-06
159,CE00159,第30話 開幕,20.0,0.2235023041474654,AKB49 ～恋愛禁止条例～,週刊少年マガジン,2011-04-06
160,CE00160,第7話 久住風子の憂鬱,25.0,0.2695852534562212,この彼女はフィクションです。,週刊少年マガジン,2011-04-06
161,CE00161,code:127 変わりゆく心,21.0,0.3271889400921659,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-04-06
162,CE00162,番外編 code:extra 桜の木の下で,8.0,0.3755760368663594,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-04-06
163,CE00163,#158 衝動,18.0,0.3940092165898617,Baby Steps ベイビーステップ,週刊少年マガジン,2011-04-06
164,CE00164,#219 巌流島,20.0,0.4354838709677419,エリアの騎士,週刊少年マガジン,2011-04-06
165,CE00165,#128 ノートのゆくえ,18.0,0.4815668202764977,君のいる町,週刊少年マガジン,2011-04-06
166,CE00166,第104話 A mysterious lady:鍵,20.0,0.5230414746543779,エデンの檻,週刊少年マガジン,2011-04-06
167,CE00167,#129　／　桜色　／　情報漏洩　／　隠しステータス　／　怒　／　スズの主張　／　裏用語　／　純反応,4.0,0.5691244239631337,生徒会役員共,週刊少年マガジン,2011-04-06
168,CE00168,Trick:310,18.0,0.5783410138248848,エア・ギア,週刊少年マガジン,2011-04-06
169,CE00169,第322話 キープ ア ストロング 2,12.0,0.619815668202765,あひるの空,週刊少年マガジン,2011-04-06
170,CE00170,フクちゃん　／　小銭　／　自販機　／　カサ　／　自転車　／　マツタケごはん　／　トンカツ弁当　／　髪の毛　／　深ヅメ,4.0,0.6497695852534562,チョイとだけ劇場,週刊少年マガジン,2011-04-06
171,CE00171,204限目 楽しい大学生活になりそうだな。,20.0,0.6612903225806451,ヤンキー君とメガネちゃん,週刊少年マガジン,2011-04-06
172,CE00172,第448話 真東家の記憶,22.0,0.7073732718894009,ゴッドハンド輝,週刊少年マガジン,2011-04-06
173,CE00173,神話 6: 図書館ではお静かに,8.0,0.7580645161290323,ゼウスの種,週刊少年マガジン,2011-04-06
174,CE00174,SHONAN 14DAYS LESSON.59 バッド・ロマンス,19.0,0.7764976958525346,GTO,週刊少年マガジン,2011-04-06
175,CE00175,第75話 プレシャス,18.0,0.8225806451612904,GE ～グッドエンディング～,週刊少年マガジン,2011-04-06
176,CE00176,#85 微生物とむろみさん,6.0,0.8640552995391705,波打際のむろみさん,週刊少年マガジン,2011-04-06
