掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.5571776155717761,CE63333,C88627,週刊少年ジャンプ,1989-09-25,第1群（合計話数：8-16話）,7
0.7655860349127181,CE63358,C88627,週刊少年ジャンプ,1989-09-18,第1群（合計話数：8-16話）,6
0.7170263788968825,CE63378,C88627,週刊少年ジャンプ,1989-09-11,第1群（合計話数：8-16話）,5
0.5875299760191847,CE63395,C88627,週刊少年ジャンプ,1989-09-04,第1群（合計話数：8-16話）,4
0.6397228637413395,CE58027,C88629,週刊少年ジャンプ,1995-04-10,第1群（合計話数：8-16話）,4
0.0083333333333333,CE65006,C88669,週刊少年ジャンプ,1988-01-01,第1群（合計話数：8-16話）,1
0.5656324582338902,CE64978,C88669,週刊少年ジャンプ,1988-01-15,第1群（合計話数：8-16話）,3
0.8885630498533724,CE66115,C88736,週刊少年ジャンプ,1986-09-01,第1群（合計話数：8-16話）,7
0.7355371900826446,CE66128,C88736,週刊少年ジャンプ,1986-08-25,第1群（合計話数：8-16話）,6
0.833810888252149,CE66146,C88736,週刊少年ジャンプ,1986-08-18,第1群（合計話数：8-16話）,5
0.4577259475218659,CE66170,C88736,週刊少年ジャンプ,1986-08-11,第1群（合計話数：8-16話）,4
0.6384839650145773,CE66189,C88736,週刊少年ジャンプ,1986-08-04,第1群（合計話数：8-16話）,3
0.4101876675603217,CE66201,C88736,週刊少年ジャンプ,1986-07-28,第1群（合計話数：8-16話）,2
0.0087976539589442,CE66212,C88736,週刊少年ジャンプ,1986-07-21,第1群（合計話数：8-16話）,1
0.1373801916932907,CE74001,C88702,週刊少年ジャンプ,1976-09-20,第1群（合計話数：8-16話）,8
0.5015974440894568,CE74021,C88702,週刊少年ジャンプ,1976-09-13,第1群（合計話数：8-16話）,7
0.8892128279883382,CE66099,C88736,週刊少年ジャンプ,1986-09-08,第1群（合計話数：8-16話）,8
0.2140575079872204,CE74032,C88702,週刊少年ジャンプ,1976-09-06,第1群（合計話数：8-16話）,6
0.0155763239875389,CE72063,C88738,週刊少年ジャンプ,1979-05-14,第1群（合計話数：8-16話）,1
0.209090909090909,CE72035,C88738,週刊少年ジャンプ,1979-05-28,第1群（合計話数：8-16話）,3
0.739938080495356,CE71967,C88738,週刊少年ジャンプ,1979-07-02,第1群（合計話数：8-16話）,8
