マンガ作品名,掲載位置,ceid,date
ドカベン,0.1814345991561181,CE114399,1974-09-16
ドカベン,0.2236286919831223,CE114374,1974-09-30
ドカベン,0.1877729257641921,CE114127,1975-02-24
ドカベン,0.1877729257641921,CE114139,1975-02-17
ドカベン,0.2158590308370044,CE114151,1975-02-10
ドカベン,0.0133333333333333,CE114161,1975-01-27
ドカベン,0.2217391304347826,CE114175,1975-01-20
ドカベン,0.1861471861471861,CE114187,1975-01-13
ドカベン,0.1853448275862069,CE114199,1975-01-06
ドカベン,0.0168776371308016,CE114209,1975-01-01
ドカベン,0.1814345991561181,CE114223,1974-12-23
ドカベン,0.0168776371308016,CE114385,1974-09-23
ドカベン,0.1814345991561181,CE114235,1974-12-16
ドカベン,0.1814345991561181,CE114259,1974-12-02
ドカベン,0.0168776371308016,CE114269,1974-11-25
ドカベン,0.2236286919831223,CE114284,1974-11-18
ドカベン,0.2236286919831223,CE114296,1974-11-11
ドカベン,0.2098765432098765,CE114310,1974-11-04
ドカベン,0.0168776371308016,CE114321,1974-10-28
ドカベン,0.180672268907563,CE114335,1974-10-21
ドカベン,0.180672268907563,CE114348,1974-10-14
ドカベン,0.180672268907563,CE114361,1974-10-07
ドカベン,0.1814345991561181,CE114247,1974-12-09
ドカベン,0.0135593220338983,CE110720,1979-12-17
ドカベン,0.2338129496402877,CE111507,1978-11-20
ドカベン,0.0959302325581395,CE110691,1980-01-01
ドカベン,0.1522248243559719,CE95423,1997-01-20
ドカベン,0.0068649885583524,CE95441,1997-01-13
ドカベン,0.1164383561643835,CE95465,1997-01-09
ドカベン,0.1438356164383561,CE95487,1997-01-01
ドカベン,0.2191435768261964,CE95508,1996-12-12
ドカベン,0.007537688442211,CE95526,1996-12-05
ドカベン,0.1475,CE95546,1996-11-28
ドカベン,0.1842105263157894,CE95568,1996-11-21
ドカベン,0.2004716981132075,CE95589,1996-11-14
ドカベン,0.1130653266331658,CE95608,1996-11-07
ドカベン,0.0075187969924812,CE95627,1996-10-31
ドカベン,0.2675,CE95651,1996-10-24
ドカベン,0.1325,CE95668,1996-10-17
ドカベン,0.0449172576832151,CE95687,1996-10-10
ドカベン,0.1865671641791045,CE95710,1996-10-03
ドカベン,0.2085427135678391,CE95403,1997-01-30
ドカベン,0.1069651741293532,CE95380,1997-02-06
ドカベン,0.1943793911007025,CE95360,1997-02-13
ドカベン,0.1313131313131313,CE110706,1979-12-24
ドカベン,0.0265700483091787,CE94991,1997-06-19
ドカベン,0.1794258373205741,CE95017,1997-06-12
ドカベン,0.1177884615384615,CE95037,1997-06-05
ドカベン,0.0741626794258373,CE95059,1997-05-29
ドカベン,0.0837320574162679,CE95081,1997-05-22
ドカベン,0.0253456221198156,CE95102,1997-05-08
ドカベン,0.1163895486935867,CE95124,1997-05-01
ドカベン,0.1237373737373737,CE95729,1996-09-26
ドカベン,0.1789976133651551,CE95146,1997-04-24
ドカベン,0.1014150943396226,CE95186,1997-04-10
ドカベン,0.1209876543209876,CE95205,1997-04-03
ドカベン,0.1169154228855721,CE95227,1997-03-27
ドカベン,0.0397196261682243,CE95247,1997-03-20
ドカベン,0.1933333333333333,CE95270,1997-03-13
ドカベン,0.1865671641791045,CE95294,1997-03-06
ドカベン,0.0771144278606965,CE95314,1997-02-27
ドカベン,0.0073170731707317,CE95164,1997-04-17
ドカベン,0.2541567695961995,CE94974,1997-06-26
ドカベン,0.007537688442211,CE95748,1996-09-19
ドカベン,0.284037558685446,CE95796,1996-09-05
ドカベン,0.1075,CE96192,1996-04-04
ドカベン,0.1417910447761194,CE96212,1996-03-28
ドカベン,0.0074626865671641,CE96230,1996-03-21
ドカベン,0.0074626865671641,CE96250,1996-03-14
ドカベン,0.1019900497512437,CE96272,1996-03-07
ドカベン,0.1875,CE96296,1996-02-29
ドカベン,0.0074626865671641,CE96314,1996-02-22
ドカベン,0.1218905472636815,CE96335,1996-02-15
ドカベン,0.1231155778894472,CE96355,1996-02-08
ドカベン,0.1225,CE96375,1996-02-01
ドカベン,0.0829383886255924,CE96395,1996-01-22
ドカベン,0.0072115384615384,CE96414,1996-01-13
ドカベン,0.2668329177057356,CE96438,1996-01-11
ドカベン,0.0074626865671641,CE96455,1996-01-01
ドカベン,0.1083123425692695,CE96478,1995-12-14
ドカベン,0.0075,CE96172,1996-04-11
ドカベン,0.007537688442211,CE96152,1996-04-18
ドカベン,0.0572139303482587,CE96133,1996-04-25
ドカベン,0.126865671641791,CE96113,1996-05-02
ドカベン,0.0070422535211267,CE95812,1996-08-22
ドカベン,0.0071090047393364,CE95832,1996-08-15
ドカベン,0.1009389671361502,CE95853,1996-08-08
ドカベン,0.3457711442786069,CE95879,1996-08-01
ドカベン,0.007537688442211,CE95894,1996-07-25
ドカベン,0.0068027210884353,CE80233,2010-03-18
ドカベン,0.1318407960199005,CE95916,1996-07-18
ドカベン,0.100502512562814,CE95770,1996-09-12
ドカベン,0.027431421446384,CE95935,1996-07-11
ドカベン,0.1225,CE95976,1996-06-27
ドカベン,0.2688442211055276,CE95998,1996-06-20
ドカベン,0.1080402010050251,CE96014,1996-06-13
ドカベン,0.007537688442211,CE96032,1996-06-06
ドカベン,0.1275,CE96053,1996-05-30
ドカベン,0.1080402010050251,CE96073,1996-05-23
ドカベン,0.0071090047393364,CE96091,1996-05-09
ドカベン,0.0775,CE95956,1996-07-04
ドカベン,0.0688836104513064,CE94947,1997-07-03
ドカベン,0.0911330049261083,CE94925,1997-07-10
ドカベン,0.0072463768115942,CE94900,1997-07-17
ドカベン,0.1912442396313364,CE93672,1998-09-10
ドカベン,0.2841648590021692,CE93697,1998-09-03
ドカベン,0.1297872340425531,CE93715,1998-08-20
ドカベン,0.1595744680851064,CE93737,1998-08-13
ドカベン,0.0852534562211981,CE93759,1998-08-06
ドカベン,0.0255813953488372,CE93781,1998-07-30
ドカベン,0.1451612903225806,CE93807,1998-07-23
ドカベン,0.0592417061611374,CE93829,1998-07-16
ドカベン,0.3033707865168539,CE93856,1998-07-09
ドカベン,0.0714285714285714,CE93874,1998-07-02
ドカベン,0.1504629629629629,CE93899,1998-06-25
ドカベン,0.1945080091533181,CE93922,1998-06-18
ドカベン,0.1876379690949227,CE93945,1998-06-11
ドカベン,0.0069124423963133,CE93966,1998-06-04
ドカベン,0.1501154734411085,CE93992,1998-05-28
ドカベン,0.2050691244239631,CE93650,1998-09-17
ドカベン,0.0253456221198156,CE93622,1998-09-24
ドカベン,0.2655889145496535,CE93606,1998-10-01
ドカベン,0.3018433179723502,CE93583,1998-10-08
ドカベン,0.5595505617977528,CE83009,2007-11-22
ドカベン,0.0067264573991031,CE89132,2002-08-15
ドカベン,0.1221198156682027,CE93254,1999-01-28
ドカベン,0.1684434968017057,CE93279,1999-01-18
ドカベン,0.0276595744680851,CE93300,1999-01-11
ドカベン,0.4404255319148936,CE93333,1999-01-07
ドカベン,0.0717592592592592,CE93349,1998-12-14
ドカベン,0.195852534562212,CE94016,1998-05-21
ドカベン,0.1685393258426966,CE93374,1998-12-10
ドカベン,0.3018433179723502,CE93424,1998-11-26
ドカベン,0.1143497757847533,CE93442,1998-11-19
ドカベン,0.3940092165898617,CE93472,1998-11-12
ドカベン,0.2465437788018433,CE93492,1998-11-05
ドカベン,0.2926267281105991,CE93516,1998-10-29
ドカベン,0.0898617511520737,CE93534,1998-10-22
ドカベン,0.0355450236966824,CE93556,1998-10-15
ドカベン,0.0069444444444444,CE93395,1998-12-03
ドカベン,0.1161731207289293,CE94037,1998-05-07
