代表的なアニメ作品名,アニメシリーズID,放送年,初放送日,合計話数
あたしンち,C2606,1995,2002-04-19,0
あたしンち,C2606,1996,2002-04-19,0
あたしンち,C2606,1997,2002-04-19,0
あたしンち,C2606,1998,2002-04-19,0
あたしンち,C2606,1999,2002-04-19,0
あたしンち,C2606,2000,2002-04-19,0
あたしンち,C2606,2001,2002-04-19,0
あたしンち,C2606,2002,2002-04-19,68
あたしンち,C2606,2003,2002-04-19,91
あたしンち,C2606,2004,2002-04-19,88
あたしンち,C2606,2005,2002-04-19,94
あたしンち,C2606,2006,2002-04-19,83
あたしンち,C2606,2007,2002-04-19,88
あたしンち,C2606,2008,2002-04-19,90
あたしンち,C2606,2009,2002-04-19,66
あたしンち,C2606,2010,2002-04-19,0
あたしンち,C2606,2011,2002-04-19,0
あたしンち,C2606,2012,2002-04-19,0
あたしンち,C2606,2013,2002-04-19,0
あたしンち,C2606,2014,2002-04-19,0
あたしンち,C2606,2015,2002-04-19,73
あたしンち,C2606,2016,2002-04-19,42
あたしンち,C2606,2017,2002-04-19,0
NARUTO,C2644,1992,2002-10-03,0
NARUTO,C2644,1993,2002-10-03,0
NARUTO,C2644,1994,2002-10-03,0
NARUTO,C2644,1995,2002-10-03,0
NARUTO,C2644,1996,2002-10-03,0
NARUTO,C2644,1997,2002-10-03,0
NARUTO,C2644,1998,2002-10-03,0
NARUTO,C2644,1999,2002-10-03,0
NARUTO,C2644,2000,2002-10-03,0
NARUTO,C2644,2001,2002-10-03,0
NARUTO,C2644,2002,2002-10-03,13
NARUTO,C2644,2003,2002-10-03,52
NARUTO,C2644,2004,2002-10-03,51
NARUTO,C2644,2005,2002-10-03,50
NARUTO,C2644,2006,2002-10-03,50
NARUTO,C2644,2007,2002-10-03,46
NARUTO,C2644,2008,2002-10-03,49
NARUTO,C2644,2009,2002-10-03,51
NARUTO,C2644,2010,2002-10-03,51
NARUTO,C2644,2011,2002-10-03,50
NARUTO,C2644,2012,2002-10-03,91
NARUTO,C2644,2013,2002-10-03,61
NARUTO,C2644,2014,2002-10-03,49
NARUTO,C2644,2015,2002-10-03,50
NARUTO,C2644,2016,2002-10-03,48
NARUTO,C2644,2017,2002-10-03,27
ふたりはプリキュア,C2833,1992,2004-02-01,0
ふたりはプリキュア,C2833,1993,2004-02-01,0
ふたりはプリキュア,C2833,1994,2004-02-01,0
ふたりはプリキュア,C2833,1995,2004-02-01,0
ふたりはプリキュア,C2833,1996,2004-02-01,0
ふたりはプリキュア,C2833,1997,2004-02-01,0
ふたりはプリキュア,C2833,1998,2004-02-01,0
ふたりはプリキュア,C2833,1999,2004-02-01,0
ふたりはプリキュア,C2833,2000,2004-02-01,0
ふたりはプリキュア,C2833,2001,2004-02-01,0
ふたりはプリキュア,C2833,2002,2004-02-01,0
ふたりはプリキュア,C2833,2003,2004-02-01,0
ふたりはプリキュア,C2833,2004,2004-02-01,45
ふたりはプリキュア,C2833,2005,2004-02-01,47
ふたりはプリキュア,C2833,2006,2004-02-01,49
ふたりはプリキュア,C2833,2007,2004-02-01,49
ふたりはプリキュア,C2833,2008,2004-02-01,48
ふたりはプリキュア,C2833,2009,2004-02-01,49
ふたりはプリキュア,C2833,2010,2004-02-01,50
ふたりはプリキュア,C2833,2011,2004-02-01,48
ふたりはプリキュア,C2833,2012,2004-02-01,48
ふたりはプリキュア,C2833,2013,2004-02-01,49
ふたりはプリキュア,C2833,2014,2004-02-01,50
ふたりはプリキュア,C2833,2015,2004-02-01,49
ふたりはプリキュア,C2833,2016,2004-02-01,45
ふたりはプリキュア,C2833,2017,2004-02-01,33
ドラえもん［新・第2期］,C2756,1992,2005-04-15,0
ドラえもん［新・第2期］,C2756,1993,2005-04-15,0
ドラえもん［新・第2期］,C2756,1994,2005-04-15,0
ドラえもん［新・第2期］,C2756,1995,2005-04-15,0
ドラえもん［新・第2期］,C2756,1996,2005-04-15,0
ドラえもん［新・第2期］,C2756,1997,2005-04-15,0
ドラえもん［新・第2期］,C2756,1998,2005-04-15,0
ドラえもん［新・第2期］,C2756,1999,2005-04-15,0
ドラえもん［新・第2期］,C2756,2000,2005-04-15,0
ドラえもん［新・第2期］,C2756,2001,2005-04-15,0
ドラえもん［新・第2期］,C2756,2002,2005-04-15,0
ドラえもん［新・第2期］,C2756,2003,2005-04-15,0
ドラえもん［新・第2期］,C2756,2004,2005-04-15,0
ドラえもん［新・第2期］,C2756,2005,2005-04-15,32
ドラえもん［新・第2期］,C2756,2006,2005-04-15,43
ドラえもん［新・第2期］,C2756,2007,2005-04-15,38
ドラえもん［新・第2期］,C2756,2008,2005-04-15,45
ドラえもん［新・第2期］,C2756,2009,2005-04-15,41
ドラえもん［新・第2期］,C2756,2010,2005-04-15,37
ドラえもん［新・第2期］,C2756,2011,2005-04-15,41
ドラえもん［新・第2期］,C2756,2012,2005-04-15,39
ドラえもん［新・第2期］,C2756,2013,2005-04-15,42
ドラえもん［新・第2期］,C2756,2014,2005-04-15,79
ドラえもん［新・第2期］,C2756,2015,2005-04-15,87
ドラえもん［新・第2期］,C2756,2016,2005-04-15,84
ドラえもん［新・第2期］,C2756,2017,2005-04-15,0
